Test set: Epoch: 1, Average loss: 0.0319, Accuracy: 0.0655, Time consumed:3.23s
Test set: Epoch: 2, Average loss: 0.0295, Accuracy: 0.1018, Time consumed:2.36s
Test set: Epoch: 3, Average loss: 0.0272, Accuracy: 0.1568, Time consumed:3.18s
Test set: Epoch: 4, Average loss: 0.0263, Accuracy: 0.1681, Time consumed:2.90s
Test set: Epoch: 5, Average loss: 0.0245, Accuracy: 0.2269, Time consumed:3.00s
Test set: Epoch: 6, Average loss: 0.0230, Accuracy: 0.2626, Time consumed:3.04s
Test set: Epoch: 7, Average loss: 0.0219, Accuracy: 0.2834, Time consumed:2.67s
Test set: Epoch: 8, Average loss: 0.0215, Accuracy: 0.3054, Time consumed:2.69s
Test set: Epoch: 9, Average loss: 0.0201, Accuracy: 0.3442, Time consumed:2.83s
Test set: Epoch: 10, Average loss: 0.0196, Accuracy: 0.3529, Time consumed:2.98s
Test set: Epoch: 11, Average loss: 0.0195, Accuracy: 0.3631, Time consumed:3.03s
Test set: Epoch: 12, Average loss: 0.0188, Accuracy: 0.3767, Time consumed:2.15s
Test set: Epoch: 13, Average loss: 0.0187, Accuracy: 0.3963, Time consumed:2.39s
Test set: Epoch: 14, Average loss: 0.0194, Accuracy: 0.3851, Time consumed:2.80s
Test set: Epoch: 15, Average loss: 0.0212, Accuracy: 0.3415, Time consumed:3.05s
Test set: Epoch: 16, Average loss: 0.0180, Accuracy: 0.4140, Time consumed:2.82s
Test set: Epoch: 17, Average loss: 0.0187, Accuracy: 0.4003, Time consumed:2.47s
Test set: Epoch: 18, Average loss: 0.0190, Accuracy: 0.3936, Time consumed:2.83s
Test set: Epoch: 19, Average loss: 0.0184, Accuracy: 0.4164, Time consumed:2.93s
Test set: Epoch: 20, Average loss: 0.0172, Accuracy: 0.4416, Time consumed:3.02s
Test set: Epoch: 21, Average loss: 0.0185, Accuracy: 0.4160, Time consumed:2.87s
Test set: Epoch: 22, Average loss: 0.0184, Accuracy: 0.4098, Time consumed:2.87s
Test set: Epoch: 23, Average loss: 0.0184, Accuracy: 0.4097, Time consumed:2.36s
Test set: Epoch: 24, Average loss: 0.0178, Accuracy: 0.4333, Time consumed:2.87s
Test set: Epoch: 25, Average loss: 0.0173, Accuracy: 0.4490, Time consumed:2.83s
Test set: Epoch: 26, Average loss: 0.0186, Accuracy: 0.4194, Time consumed:3.01s
Test set: Epoch: 27, Average loss: 0.0177, Accuracy: 0.4362, Time consumed:2.68s
Test set: Epoch: 28, Average loss: 0.0169, Accuracy: 0.4510, Time consumed:2.88s
Test set: Epoch: 29, Average loss: 0.0188, Accuracy: 0.4178, Time consumed:1.92s
Test set: Epoch: 30, Average loss: 0.0170, Accuracy: 0.4565, Time consumed:2.76s
Test set: Epoch: 31, Average loss: 0.0214, Accuracy: 0.3810, Time consumed:2.92s
Test set: Epoch: 32, Average loss: 0.0159, Accuracy: 0.4821, Time consumed:2.95s
Test set: Epoch: 33, Average loss: 0.0173, Accuracy: 0.4519, Time consumed:3.07s
Test set: Epoch: 34, Average loss: 0.0165, Accuracy: 0.4686, Time consumed:3.02s
Test set: Epoch: 35, Average loss: 0.0173, Accuracy: 0.4424, Time consumed:2.08s
Test set: Epoch: 36, Average loss: 0.0178, Accuracy: 0.4342, Time consumed:2.99s
Test set: Epoch: 37, Average loss: 0.0184, Accuracy: 0.4340, Time consumed:2.93s
Test set: Epoch: 38, Average loss: 0.0173, Accuracy: 0.4553, Time consumed:2.97s
Test set: Epoch: 39, Average loss: 0.0175, Accuracy: 0.4519, Time consumed:3.14s
Test set: Epoch: 40, Average loss: 0.0180, Accuracy: 0.4482, Time consumed:2.29s
Test set: Epoch: 41, Average loss: 0.0188, Accuracy: 0.4308, Time consumed:2.26s
Test set: Epoch: 42, Average loss: 0.0159, Accuracy: 0.4827, Time consumed:3.05s
Test set: Epoch: 43, Average loss: 0.0159, Accuracy: 0.4841, Time consumed:2.60s
Test set: Epoch: 44, Average loss: 0.0158, Accuracy: 0.4969, Time consumed:3.13s
Test set: Epoch: 45, Average loss: 0.0167, Accuracy: 0.4756, Time consumed:2.90s
Test set: Epoch: 46, Average loss: 0.0167, Accuracy: 0.4774, Time consumed:2.16s
Test set: Epoch: 47, Average loss: 0.0174, Accuracy: 0.4605, Time consumed:2.95s
Test set: Epoch: 48, Average loss: 0.0166, Accuracy: 0.4692, Time consumed:2.98s
Test set: Epoch: 49, Average loss: 0.0179, Accuracy: 0.4467, Time consumed:2.67s
Test set: Epoch: 50, Average loss: 0.0185, Accuracy: 0.4296, Time consumed:2.60s
Test set: Epoch: 51, Average loss: 0.0165, Accuracy: 0.4761, Time consumed:2.08s
Test set: Epoch: 52, Average loss: 0.0167, Accuracy: 0.4775, Time consumed:2.99s
Test set: Epoch: 53, Average loss: 0.0171, Accuracy: 0.4649, Time consumed:3.09s
Test set: Epoch: 54, Average loss: 0.0168, Accuracy: 0.4790, Time consumed:2.93s
Test set: Epoch: 55, Average loss: 0.0177, Accuracy: 0.4454, Time consumed:2.92s
Test set: Epoch: 56, Average loss: 0.0168, Accuracy: 0.4776, Time consumed:3.01s
Test set: Epoch: 57, Average loss: 0.0161, Accuracy: 0.4929, Time consumed:2.17s
Test set: Epoch: 58, Average loss: 0.0177, Accuracy: 0.4514, Time consumed:2.89s
Test set: Epoch: 59, Average loss: 0.0171, Accuracy: 0.4568, Time consumed:2.90s
Test set: Epoch: 60, Average loss: 0.0106, Accuracy: 0.6513, Time consumed:2.94s
Test set: Epoch: 61, Average loss: 0.0104, Accuracy: 0.6496, Time consumed:2.92s
Test set: Epoch: 62, Average loss: 0.0102, Accuracy: 0.6564, Time consumed:3.16s
Test set: Epoch: 63, Average loss: 0.0101, Accuracy: 0.6646, Time consumed:2.60s
Test set: Epoch: 64, Average loss: 0.0102, Accuracy: 0.6600, Time consumed:3.02s
Test set: Epoch: 65, Average loss: 0.0102, Accuracy: 0.6611, Time consumed:3.04s
Test set: Epoch: 66, Average loss: 0.0100, Accuracy: 0.6663, Time consumed:3.00s
Test set: Epoch: 67, Average loss: 0.0104, Accuracy: 0.6533, Time consumed:2.69s
Test set: Epoch: 68, Average loss: 0.0101, Accuracy: 0.6588, Time consumed:2.04s
