Test set: Epoch: 1, Average loss: 0.0319, Accuracy: 0.0678, Time consumed:2.97s
Test set: Epoch: 2, Average loss: 0.0311, Accuracy: 0.0892, Time consumed:2.86s
Test set: Epoch: 3, Average loss: 0.0298, Accuracy: 0.1246, Time consumed:2.08s
Test set: Epoch: 4, Average loss: 0.0294, Accuracy: 0.1225, Time consumed:2.58s
Test set: Epoch: 5, Average loss: 0.0284, Accuracy: 0.1507, Time consumed:2.83s
Test set: Epoch: 6, Average loss: 0.0282, Accuracy: 0.1720, Time consumed:2.50s
Test set: Epoch: 7, Average loss: 0.0270, Accuracy: 0.1927, Time consumed:2.22s
Test set: Epoch: 8, Average loss: 0.0269, Accuracy: 0.1838, Time consumed:2.98s
Test set: Epoch: 9, Average loss: 0.0260, Accuracy: 0.2173, Time consumed:2.84s
Test set: Epoch: 10, Average loss: 0.0253, Accuracy: 0.2416, Time consumed:2.93s
Test set: Epoch: 11, Average loss: 0.0247, Accuracy: 0.2498, Time consumed:2.24s
Test set: Epoch: 12, Average loss: 0.0243, Accuracy: 0.2627, Time consumed:2.52s
Test set: Epoch: 13, Average loss: 0.0250, Accuracy: 0.2508, Time consumed:2.84s
Test set: Epoch: 14, Average loss: 0.0238, Accuracy: 0.2849, Time consumed:2.97s
Test set: Epoch: 15, Average loss: 0.0237, Accuracy: 0.2692, Time consumed:1.86s
Test set: Epoch: 16, Average loss: 0.0228, Accuracy: 0.3104, Time consumed:2.89s
Test set: Epoch: 17, Average loss: 0.0236, Accuracy: 0.2913, Time consumed:2.90s
Test set: Epoch: 18, Average loss: 0.0227, Accuracy: 0.3211, Time consumed:2.51s
Test set: Epoch: 19, Average loss: 0.0240, Accuracy: 0.2834, Time consumed:2.27s
Test set: Epoch: 20, Average loss: 0.0218, Accuracy: 0.3429, Time consumed:3.07s
Test set: Epoch: 21, Average loss: 0.0223, Accuracy: 0.3334, Time consumed:2.77s
Test set: Epoch: 22, Average loss: 0.0218, Accuracy: 0.3413, Time consumed:2.82s
Test set: Epoch: 23, Average loss: 0.0228, Accuracy: 0.3200, Time consumed:2.45s
Test set: Epoch: 24, Average loss: 0.0218, Accuracy: 0.3476, Time consumed:2.27s
Test set: Epoch: 25, Average loss: 0.0238, Accuracy: 0.2987, Time consumed:2.67s
Test set: Epoch: 26, Average loss: 0.0203, Accuracy: 0.3843, Time consumed:2.73s
Test set: Epoch: 27, Average loss: 0.0221, Accuracy: 0.3412, Time consumed:2.07s
Test set: Epoch: 28, Average loss: 0.0214, Accuracy: 0.3591, Time consumed:2.77s
Test set: Epoch: 29, Average loss: 0.0215, Accuracy: 0.3615, Time consumed:2.66s
Test set: Epoch: 30, Average loss: 0.0212, Accuracy: 0.3706, Time consumed:2.64s
Test set: Epoch: 31, Average loss: 0.0206, Accuracy: 0.3850, Time consumed:2.80s
Test set: Epoch: 32, Average loss: 0.0210, Accuracy: 0.3784, Time consumed:2.17s
Test set: Epoch: 33, Average loss: 0.0214, Accuracy: 0.3550, Time consumed:2.79s
