Test set: Epoch: 1, Average loss: 0.0350, Accuracy: 0.0296, Time consumed:1.79s
Test set: Epoch: 2, Average loss: 0.0337, Accuracy: 0.0415, Time consumed:1.79s
Test set: Epoch: 3, Average loss: 0.0328, Accuracy: 0.0643, Time consumed:1.73s
Test set: Epoch: 4, Average loss: 0.0326, Accuracy: 0.0822, Time consumed:1.83s
Test set: Epoch: 5, Average loss: 0.0329, Accuracy: 0.0758, Time consumed:1.74s
Test set: Epoch: 6, Average loss: 0.0323, Accuracy: 0.0769, Time consumed:1.73s
Test set: Epoch: 7, Average loss: 0.0318, Accuracy: 0.1016, Time consumed:1.78s
Test set: Epoch: 8, Average loss: 0.0316, Accuracy: 0.1030, Time consumed:1.65s
Test set: Epoch: 9, Average loss: 0.0314, Accuracy: 0.1020, Time consumed:1.82s
Test set: Epoch: 10, Average loss: 0.0307, Accuracy: 0.1253, Time consumed:1.62s
Test set: Epoch: 11, Average loss: 0.0311, Accuracy: 0.1075, Time consumed:1.82s
Test set: Epoch: 12, Average loss: 0.0303, Accuracy: 0.1176, Time consumed:1.71s
Test set: Epoch: 13, Average loss: 0.0298, Accuracy: 0.1401, Time consumed:1.76s
Test set: Epoch: 14, Average loss: 0.0300, Accuracy: 0.1453, Time consumed:1.74s
Test set: Epoch: 15, Average loss: 0.0291, Accuracy: 0.1669, Time consumed:1.77s
Test set: Epoch: 16, Average loss: 0.0293, Accuracy: 0.1640, Time consumed:1.74s
Test set: Epoch: 17, Average loss: 0.0296, Accuracy: 0.1510, Time consumed:1.67s
Test set: Epoch: 18, Average loss: 0.0287, Accuracy: 0.1793, Time consumed:1.74s
Test set: Epoch: 19, Average loss: 0.0281, Accuracy: 0.1937, Time consumed:1.68s
Test set: Epoch: 20, Average loss: 0.0284, Accuracy: 0.1783, Time consumed:1.82s
Test set: Epoch: 21, Average loss: 0.0279, Accuracy: 0.2135, Time consumed:1.65s
Test set: Epoch: 22, Average loss: 0.0279, Accuracy: 0.1934, Time consumed:1.66s
Test set: Epoch: 23, Average loss: 0.0267, Accuracy: 0.2390, Time consumed:1.84s
