Test set: Epoch: 1, Average loss: 0.0341, Accuracy: 0.0441, Time consumed:1.70s
Test set: Epoch: 2, Average loss: 0.0330, Accuracy: 0.0556, Time consumed:1.69s
Test set: Epoch: 3, Average loss: 0.0327, Accuracy: 0.0741, Time consumed:1.74s
Test set: Epoch: 4, Average loss: 0.0318, Accuracy: 0.0898, Time consumed:1.70s
Test set: Epoch: 5, Average loss: 0.0311, Accuracy: 0.0921, Time consumed:1.71s
Test set: Epoch: 6, Average loss: 0.0306, Accuracy: 0.1054, Time consumed:1.71s
Test set: Epoch: 7, Average loss: 0.0303, Accuracy: 0.1161, Time consumed:1.74s
Test set: Epoch: 8, Average loss: 0.0293, Accuracy: 0.1353, Time consumed:1.69s
Test set: Epoch: 9, Average loss: 0.0283, Accuracy: 0.1580, Time consumed:1.73s
Test set: Epoch: 10, Average loss: 0.0281, Accuracy: 0.1712, Time consumed:1.84s
Test set: Epoch: 11, Average loss: 0.0286, Accuracy: 0.1656, Time consumed:1.74s
Test set: Epoch: 12, Average loss: 0.0287, Accuracy: 0.1670, Time consumed:1.80s
Test set: Epoch: 13, Average loss: 0.0278, Accuracy: 0.1833, Time consumed:1.79s
Test set: Epoch: 14, Average loss: 0.0268, Accuracy: 0.2111, Time consumed:1.71s
Test set: Epoch: 15, Average loss: 0.0266, Accuracy: 0.2122, Time consumed:1.74s
Test set: Epoch: 16, Average loss: 0.0252, Accuracy: 0.2477, Time consumed:1.79s
Test set: Epoch: 17, Average loss: 0.0259, Accuracy: 0.2313, Time consumed:1.80s
Test set: Epoch: 18, Average loss: 0.0247, Accuracy: 0.2649, Time consumed:1.77s
Test set: Epoch: 19, Average loss: 0.0241, Accuracy: 0.2870, Time consumed:1.85s
Test set: Epoch: 20, Average loss: 0.0249, Accuracy: 0.2707, Time consumed:1.72s
Test set: Epoch: 21, Average loss: 0.0238, Accuracy: 0.3074, Time consumed:1.78s
Test set: Epoch: 22, Average loss: 0.0241, Accuracy: 0.2998, Time consumed:1.77s
Test set: Epoch: 23, Average loss: 0.0247, Accuracy: 0.3022, Time consumed:1.85s
Test set: Epoch: 24, Average loss: 0.0237, Accuracy: 0.3335, Time consumed:1.75s
Test set: Epoch: 25, Average loss: 0.0240, Accuracy: 0.3012, Time consumed:1.71s
Test set: Epoch: 26, Average loss: 0.0240, Accuracy: 0.2929, Time consumed:1.85s
Test set: Epoch: 27, Average loss: 0.0229, Accuracy: 0.3355, Time consumed:1.67s
Test set: Epoch: 28, Average loss: 0.0234, Accuracy: 0.3333, Time consumed:1.70s
Test set: Epoch: 29, Average loss: 0.0233, Accuracy: 0.3268, Time consumed:1.69s
Test set: Epoch: 30, Average loss: 0.0228, Accuracy: 0.3462, Time consumed:1.77s
Test set: Epoch: 31, Average loss: 0.0240, Accuracy: 0.3178, Time consumed:1.75s
Test set: Epoch: 32, Average loss: 0.0218, Accuracy: 0.3731, Time consumed:1.68s
Test set: Epoch: 33, Average loss: 0.0222, Accuracy: 0.3595, Time consumed:1.73s
Test set: Epoch: 34, Average loss: 0.0225, Accuracy: 0.3608, Time consumed:1.84s
Test set: Epoch: 35, Average loss: 0.0231, Accuracy: 0.3245, Time consumed:1.71s
