Test set: Epoch: 1, Average loss: 0.0325, Accuracy: 0.0716, Time consumed:2.78s
Test set: Epoch: 2, Average loss: 0.0278, Accuracy: 0.1681, Time consumed:2.50s
Test set: Epoch: 3, Average loss: 0.0263, Accuracy: 0.1910, Time consumed:2.92s
Test set: Epoch: 4, Average loss: 0.0248, Accuracy: 0.2206, Time consumed:3.05s
Test set: Epoch: 5, Average loss: 0.0226, Accuracy: 0.2719, Time consumed:2.95s
Test set: Epoch: 6, Average loss: 0.0213, Accuracy: 0.3141, Time consumed:2.82s
Test set: Epoch: 7, Average loss: 0.0200, Accuracy: 0.3628, Time consumed:2.93s
Test set: Epoch: 8, Average loss: 0.0212, Accuracy: 0.3228, Time consumed:2.95s
Test set: Epoch: 9, Average loss: 0.0192, Accuracy: 0.3804, Time consumed:1.81s
Test set: Epoch: 10, Average loss: 0.0227, Accuracy: 0.3119, Time consumed:2.88s
Test set: Epoch: 11, Average loss: 0.0217, Accuracy: 0.3289, Time consumed:2.87s
Test set: Epoch: 12, Average loss: 0.0220, Accuracy: 0.3292, Time consumed:2.78s
Test set: Epoch: 13, Average loss: 0.0205, Accuracy: 0.3542, Time consumed:2.93s
Test set: Epoch: 14, Average loss: 0.0187, Accuracy: 0.4166, Time consumed:2.78s
Test set: Epoch: 15, Average loss: 0.0196, Accuracy: 0.3952, Time consumed:2.94s
Test set: Epoch: 16, Average loss: 0.0209, Accuracy: 0.3517, Time consumed:2.23s
Test set: Epoch: 17, Average loss: 0.0231, Accuracy: 0.3140, Time consumed:2.94s
Test set: Epoch: 18, Average loss: 0.0227, Accuracy: 0.3238, Time consumed:2.77s
Test set: Epoch: 19, Average loss: 0.0191, Accuracy: 0.3969, Time consumed:3.00s
Test set: Epoch: 20, Average loss: 0.0211, Accuracy: 0.3402, Time consumed:2.77s
Test set: Epoch: 21, Average loss: 0.0195, Accuracy: 0.3967, Time consumed:2.91s
Test set: Epoch: 22, Average loss: 0.0186, Accuracy: 0.4148, Time consumed:2.99s
Test set: Epoch: 23, Average loss: 0.0204, Accuracy: 0.3718, Time consumed:2.94s
Test set: Epoch: 24, Average loss: 0.0181, Accuracy: 0.4325, Time consumed:2.92s
Test set: Epoch: 25, Average loss: 0.0230, Accuracy: 0.3099, Time consumed:2.90s
Test set: Epoch: 26, Average loss: 0.0220, Accuracy: 0.3351, Time consumed:2.27s
Test set: Epoch: 27, Average loss: 0.0189, Accuracy: 0.4105, Time consumed:2.87s
Test set: Epoch: 28, Average loss: 0.0204, Accuracy: 0.3725, Time consumed:3.14s
Test set: Epoch: 29, Average loss: 0.0202, Accuracy: 0.3744, Time consumed:2.98s
Test set: Epoch: 30, Average loss: 0.0183, Accuracy: 0.4262, Time consumed:3.02s
Test set: Epoch: 31, Average loss: 0.0200, Accuracy: 0.3826, Time consumed:2.88s
Test set: Epoch: 32, Average loss: 0.0186, Accuracy: 0.4246, Time consumed:2.34s
Test set: Epoch: 33, Average loss: 0.0185, Accuracy: 0.4117, Time consumed:2.76s
Test set: Epoch: 34, Average loss: 0.0214, Accuracy: 0.3384, Time consumed:2.89s
Test set: Epoch: 35, Average loss: 0.0220, Accuracy: 0.3181, Time consumed:2.91s
Test set: Epoch: 36, Average loss: 0.0217, Accuracy: 0.3573, Time consumed:2.03s
Test set: Epoch: 37, Average loss: 0.0215, Accuracy: 0.3624, Time consumed:2.95s
Test set: Epoch: 38, Average loss: 0.0183, Accuracy: 0.4395, Time consumed:3.06s
