Test set: Epoch: 1, Average loss: 0.0290, Accuracy: 0.1327, Time consumed:1.55s
Test set: Epoch: 2, Average loss: 0.0260, Accuracy: 0.2017, Time consumed:1.55s
Test set: Epoch: 3, Average loss: 0.0233, Accuracy: 0.2631, Time consumed:1.56s
Test set: Epoch: 4, Average loss: 0.0212, Accuracy: 0.3192, Time consumed:1.59s
Test set: Epoch: 5, Average loss: 0.0192, Accuracy: 0.3702, Time consumed:1.73s
Test set: Epoch: 6, Average loss: 0.0187, Accuracy: 0.3796, Time consumed:1.84s
Test set: Epoch: 7, Average loss: 0.0176, Accuracy: 0.4164, Time consumed:1.91s
Test set: Epoch: 8, Average loss: 0.0179, Accuracy: 0.4157, Time consumed:1.61s
Test set: Epoch: 9, Average loss: 0.0169, Accuracy: 0.4438, Time consumed:1.54s
Test set: Epoch: 10, Average loss: 0.0172, Accuracy: 0.4450, Time consumed:1.57s
Test set: Epoch: 11, Average loss: 0.0155, Accuracy: 0.4778, Time consumed:1.68s
Test set: Epoch: 12, Average loss: 0.0163, Accuracy: 0.4569, Time consumed:1.64s
Test set: Epoch: 13, Average loss: 0.0162, Accuracy: 0.4697, Time consumed:1.67s
Test set: Epoch: 14, Average loss: 0.0151, Accuracy: 0.4958, Time consumed:1.57s
Test set: Epoch: 15, Average loss: 0.0156, Accuracy: 0.4868, Time consumed:1.61s
Test set: Epoch: 16, Average loss: 0.0153, Accuracy: 0.4892, Time consumed:1.58s
Test set: Epoch: 17, Average loss: 0.0163, Accuracy: 0.4672, Time consumed:1.56s
Test set: Epoch: 18, Average loss: 0.0154, Accuracy: 0.5042, Time consumed:1.61s
Test set: Epoch: 19, Average loss: 0.0155, Accuracy: 0.4966, Time consumed:1.69s
Test set: Epoch: 20, Average loss: 0.0155, Accuracy: 0.4949, Time consumed:1.51s
Test set: Epoch: 21, Average loss: 0.0157, Accuracy: 0.4831, Time consumed:1.74s
Test set: Epoch: 22, Average loss: 0.0150, Accuracy: 0.5051, Time consumed:1.82s
Test set: Epoch: 23, Average loss: 0.0146, Accuracy: 0.5214, Time consumed:1.70s
Test set: Epoch: 24, Average loss: 0.0140, Accuracy: 0.5302, Time consumed:1.83s
Test set: Epoch: 25, Average loss: 0.0143, Accuracy: 0.5242, Time consumed:1.64s
Test set: Epoch: 26, Average loss: 0.0150, Accuracy: 0.5113, Time consumed:1.52s
Test set: Epoch: 27, Average loss: 0.0166, Accuracy: 0.4644, Time consumed:1.68s
Test set: Epoch: 28, Average loss: 0.0143, Accuracy: 0.5259, Time consumed:1.72s
Test set: Epoch: 29, Average loss: 0.0138, Accuracy: 0.5424, Time consumed:1.89s
Test set: Epoch: 30, Average loss: 0.0146, Accuracy: 0.5302, Time consumed:1.91s
