Test set: Epoch: 1, Average loss: 0.0350, Accuracy: 0.0487, Time consumed:8.05s
Test set: Epoch: 2, Average loss: 0.0311, Accuracy: 0.0903, Time consumed:7.98s
Test set: Epoch: 3, Average loss: 0.0299, Accuracy: 0.1149, Time consumed:8.12s
Test set: Epoch: 4, Average loss: 0.0289, Accuracy: 0.1376, Time consumed:7.89s
Test set: Epoch: 5, Average loss: 0.0294, Accuracy: 0.1457, Time consumed:7.92s
Test set: Epoch: 6, Average loss: 0.0264, Accuracy: 0.2066, Time consumed:7.93s
Test set: Epoch: 7, Average loss: 0.0244, Accuracy: 0.2518, Time consumed:7.96s
Test set: Epoch: 8, Average loss: 0.0252, Accuracy: 0.2497, Time consumed:8.13s
Test set: Epoch: 9, Average loss: 0.0227, Accuracy: 0.2971, Time consumed:7.92s
Test set: Epoch: 10, Average loss: 0.0217, Accuracy: 0.3283, Time consumed:7.88s
Test set: Epoch: 11, Average loss: 0.0220, Accuracy: 0.3250, Time consumed:8.07s
Test set: Epoch: 12, Average loss: 0.0207, Accuracy: 0.3442, Time consumed:8.12s
Test set: Epoch: 13, Average loss: 0.0201, Accuracy: 0.3784, Time consumed:7.83s
Test set: Epoch: 14, Average loss: 0.0205, Accuracy: 0.3651, Time consumed:8.16s
Test set: Epoch: 15, Average loss: 0.0200, Accuracy: 0.3771, Time consumed:8.06s
Test set: Epoch: 16, Average loss: 0.0206, Accuracy: 0.3564, Time consumed:7.88s
Test set: Epoch: 17, Average loss: 0.0192, Accuracy: 0.4036, Time consumed:8.14s
Test set: Epoch: 18, Average loss: 0.0200, Accuracy: 0.3796, Time consumed:8.17s
Test set: Epoch: 19, Average loss: 0.0201, Accuracy: 0.3766, Time consumed:8.24s
Test set: Epoch: 20, Average loss: 0.0192, Accuracy: 0.4027, Time consumed:8.11s
Test set: Epoch: 21, Average loss: 0.0177, Accuracy: 0.4488, Time consumed:8.03s
Test set: Epoch: 22, Average loss: 0.0190, Accuracy: 0.4177, Time consumed:8.10s
Test set: Epoch: 23, Average loss: 0.0194, Accuracy: 0.4009, Time consumed:8.16s
Test set: Epoch: 24, Average loss: 0.0178, Accuracy: 0.4544, Time consumed:8.43s
Test set: Epoch: 25, Average loss: 0.0180, Accuracy: 0.4369, Time consumed:8.11s
Test set: Epoch: 26, Average loss: 0.0181, Accuracy: 0.4360, Time consumed:8.02s
Test set: Epoch: 27, Average loss: 0.0190, Accuracy: 0.4245, Time consumed:7.83s
Test set: Epoch: 28, Average loss: 0.0189, Accuracy: 0.4178, Time consumed:8.20s
Test set: Epoch: 29, Average loss: 0.0178, Accuracy: 0.4465, Time consumed:7.95s
Test set: Epoch: 30, Average loss: 0.0181, Accuracy: 0.4473, Time consumed:7.89s
Test set: Epoch: 31, Average loss: 0.0196, Accuracy: 0.3985, Time consumed:7.89s
Test set: Epoch: 32, Average loss: 0.0188, Accuracy: 0.4272, Time consumed:7.81s
Test set: Epoch: 33, Average loss: 0.0174, Accuracy: 0.4742, Time consumed:7.97s
Test set: Epoch: 34, Average loss: 0.0171, Accuracy: 0.4649, Time consumed:8.05s
Test set: Epoch: 35, Average loss: 0.0181, Accuracy: 0.4444, Time consumed:8.15s
Test set: Epoch: 36, Average loss: 0.0179, Accuracy: 0.4467, Time consumed:8.12s
Test set: Epoch: 37, Average loss: 0.0186, Accuracy: 0.4258, Time consumed:8.11s
Test set: Epoch: 38, Average loss: 0.0169, Accuracy: 0.4738, Time consumed:8.24s
Test set: Epoch: 39, Average loss: 0.0176, Accuracy: 0.4572, Time consumed:8.15s
Test set: Epoch: 40, Average loss: 0.0169, Accuracy: 0.4813, Time consumed:8.14s
Test set: Epoch: 41, Average loss: 0.0168, Accuracy: 0.4754, Time consumed:8.01s
Test set: Epoch: 42, Average loss: 0.0180, Accuracy: 0.4401, Time consumed:8.09s
Test set: Epoch: 43, Average loss: 0.0175, Accuracy: 0.4649, Time consumed:8.04s
Test set: Epoch: 44, Average loss: 0.0162, Accuracy: 0.4986, Time consumed:8.02s
Test set: Epoch: 45, Average loss: 0.0179, Accuracy: 0.4486, Time consumed:8.17s
Test set: Epoch: 46, Average loss: 0.0187, Accuracy: 0.4345, Time consumed:7.98s
Test set: Epoch: 47, Average loss: 0.0171, Accuracy: 0.4651, Time consumed:8.04s
Test set: Epoch: 48, Average loss: 0.0171, Accuracy: 0.4663, Time consumed:8.07s
Test set: Epoch: 49, Average loss: 0.0178, Accuracy: 0.4507, Time consumed:8.35s
Test set: Epoch: 50, Average loss: 0.0171, Accuracy: 0.4711, Time consumed:8.02s
Test set: Epoch: 51, Average loss: 0.0171, Accuracy: 0.4755, Time consumed:8.16s
Test set: Epoch: 52, Average loss: 0.0183, Accuracy: 0.4344, Time consumed:8.10s
Test set: Epoch: 53, Average loss: 0.0175, Accuracy: 0.4698, Time consumed:8.19s
Test set: Epoch: 54, Average loss: 0.0173, Accuracy: 0.4798, Time consumed:8.08s
Test set: Epoch: 55, Average loss: 0.0175, Accuracy: 0.4751, Time consumed:7.99s
Test set: Epoch: 56, Average loss: 0.0175, Accuracy: 0.4570, Time consumed:8.07s
Test set: Epoch: 57, Average loss: 0.0189, Accuracy: 0.4212, Time consumed:7.91s
Test set: Epoch: 58, Average loss: 0.0171, Accuracy: 0.4732, Time consumed:8.15s
Test set: Epoch: 59, Average loss: 0.0170, Accuracy: 0.4812, Time consumed:8.06s
Test set: Epoch: 60, Average loss: 0.0114, Accuracy: 0.6550, Time consumed:8.05s
Test set: Epoch: 61, Average loss: 0.0111, Accuracy: 0.6671, Time consumed:8.06s
Test set: Epoch: 62, Average loss: 0.0113, Accuracy: 0.6676, Time consumed:7.98s
Test set: Epoch: 63, Average loss: 0.0113, Accuracy: 0.6644, Time consumed:7.85s
Test set: Epoch: 64, Average loss: 0.0115, Accuracy: 0.6619, Time consumed:8.09s
Test set: Epoch: 65, Average loss: 0.0112, Accuracy: 0.6629, Time consumed:8.05s
Test set: Epoch: 66, Average loss: 0.0115, Accuracy: 0.6598, Time consumed:7.82s
Test set: Epoch: 67, Average loss: 0.0113, Accuracy: 0.6672, Time consumed:8.20s
Test set: Epoch: 68, Average loss: 0.0112, Accuracy: 0.6670, Time consumed:7.93s
Test set: Epoch: 69, Average loss: 0.0116, Accuracy: 0.6572, Time consumed:8.16s
Test set: Epoch: 70, Average loss: 0.0119, Accuracy: 0.6502, Time consumed:8.08s
Test set: Epoch: 71, Average loss: 0.0117, Accuracy: 0.6570, Time consumed:7.86s
Test set: Epoch: 72, Average loss: 0.0122, Accuracy: 0.6443, Time consumed:8.13s
Test set: Epoch: 73, Average loss: 0.0122, Accuracy: 0.6368, Time consumed:8.25s
Test set: Epoch: 74, Average loss: 0.0114, Accuracy: 0.6608, Time consumed:8.00s
Test set: Epoch: 75, Average loss: 0.0113, Accuracy: 0.6668, Time consumed:8.17s
Test set: Epoch: 76, Average loss: 0.0118, Accuracy: 0.6466, Time consumed:7.85s
Test set: Epoch: 77, Average loss: 0.0118, Accuracy: 0.6590, Time consumed:7.91s
Test set: Epoch: 78, Average loss: 0.0117, Accuracy: 0.6510, Time consumed:8.08s
Test set: Epoch: 79, Average loss: 0.0118, Accuracy: 0.6503, Time consumed:7.84s
Test set: Epoch: 80, Average loss: 0.0117, Accuracy: 0.6539, Time consumed:8.00s
Test set: Epoch: 81, Average loss: 0.0116, Accuracy: 0.6594, Time consumed:8.01s
Test set: Epoch: 82, Average loss: 0.0114, Accuracy: 0.6681, Time consumed:8.32s
Test set: Epoch: 83, Average loss: 0.0124, Accuracy: 0.6357, Time consumed:8.54s
Test set: Epoch: 84, Average loss: 0.0119, Accuracy: 0.6453, Time consumed:7.95s
Test set: Epoch: 85, Average loss: 0.0116, Accuracy: 0.6635, Time consumed:8.04s
Test set: Epoch: 86, Average loss: 0.0113, Accuracy: 0.6742, Time consumed:8.05s
