Test set: Epoch: 1, Average loss: 0.0328, Accuracy: 0.0667, Time consumed:1.58s
Test set: Epoch: 2, Average loss: 0.0280, Accuracy: 0.1673, Time consumed:1.78s
Test set: Epoch: 3, Average loss: 0.0260, Accuracy: 0.2113, Time consumed:1.69s
Test set: Epoch: 4, Average loss: 0.0243, Accuracy: 0.2565, Time consumed:1.64s
Test set: Epoch: 5, Average loss: 0.0239, Accuracy: 0.2685, Time consumed:1.62s
Test set: Epoch: 6, Average loss: 0.0219, Accuracy: 0.3122, Time consumed:1.86s
Test set: Epoch: 7, Average loss: 0.0202, Accuracy: 0.3747, Time consumed:1.64s
Test set: Epoch: 8, Average loss: 0.0198, Accuracy: 0.3762, Time consumed:1.59s
Test set: Epoch: 9, Average loss: 0.0197, Accuracy: 0.3916, Time consumed:1.74s
Test set: Epoch: 10, Average loss: 0.0204, Accuracy: 0.3546, Time consumed:1.65s
Test set: Epoch: 11, Average loss: 0.0192, Accuracy: 0.3953, Time consumed:1.64s
Test set: Epoch: 12, Average loss: 0.0182, Accuracy: 0.4231, Time consumed:1.61s
Test set: Epoch: 13, Average loss: 0.0194, Accuracy: 0.3911, Time consumed:1.61s
Test set: Epoch: 14, Average loss: 0.0194, Accuracy: 0.4029, Time consumed:1.66s
Test set: Epoch: 15, Average loss: 0.0183, Accuracy: 0.4337, Time consumed:1.56s
Test set: Epoch: 16, Average loss: 0.0167, Accuracy: 0.4740, Time consumed:1.73s
Test set: Epoch: 17, Average loss: 0.0175, Accuracy: 0.4591, Time consumed:1.66s
Test set: Epoch: 18, Average loss: 0.0188, Accuracy: 0.4165, Time consumed:1.78s
Test set: Epoch: 19, Average loss: 0.0164, Accuracy: 0.4874, Time consumed:1.61s
Test set: Epoch: 20, Average loss: 0.0174, Accuracy: 0.4648, Time consumed:1.72s
Test set: Epoch: 21, Average loss: 0.0169, Accuracy: 0.4734, Time consumed:1.70s
Test set: Epoch: 22, Average loss: 0.0178, Accuracy: 0.4481, Time consumed:1.68s
Test set: Epoch: 23, Average loss: 0.0170, Accuracy: 0.4788, Time consumed:1.75s
Test set: Epoch: 24, Average loss: 0.0169, Accuracy: 0.4854, Time consumed:1.72s
Test set: Epoch: 25, Average loss: 0.0183, Accuracy: 0.4377, Time consumed:1.75s
Test set: Epoch: 26, Average loss: 0.0171, Accuracy: 0.4801, Time consumed:1.66s
Test set: Epoch: 27, Average loss: 0.0163, Accuracy: 0.4912, Time consumed:1.65s
Test set: Epoch: 28, Average loss: 0.0176, Accuracy: 0.4583, Time consumed:1.69s
Test set: Epoch: 29, Average loss: 0.0167, Accuracy: 0.4838, Time consumed:1.74s
Test set: Epoch: 30, Average loss: 0.0180, Accuracy: 0.4508, Time consumed:1.62s
Test set: Epoch: 31, Average loss: 0.0185, Accuracy: 0.4215, Time consumed:1.57s
Test set: Epoch: 32, Average loss: 0.0163, Accuracy: 0.5031, Time consumed:1.61s
Test set: Epoch: 33, Average loss: 0.0173, Accuracy: 0.4685, Time consumed:1.63s
Test set: Epoch: 34, Average loss: 0.0171, Accuracy: 0.4804, Time consumed:1.62s
