Test set: Epoch: 1, Average loss: 0.0348, Accuracy: 0.0245, Time consumed:2.03s
Test set: Epoch: 2, Average loss: 0.0348, Accuracy: 0.0337, Time consumed:2.03s
Test set: Epoch: 3, Average loss: 0.0340, Accuracy: 0.0403, Time consumed:2.07s
Test set: Epoch: 4, Average loss: 0.0342, Accuracy: 0.0404, Time consumed:2.00s
Test set: Epoch: 5, Average loss: 0.0336, Accuracy: 0.0436, Time consumed:1.97s
Test set: Epoch: 6, Average loss: 0.0335, Accuracy: 0.0491, Time consumed:2.06s
Test set: Epoch: 7, Average loss: 0.0332, Accuracy: 0.0490, Time consumed:1.96s
Test set: Epoch: 8, Average loss: 0.0335, Accuracy: 0.0469, Time consumed:1.95s
Test set: Epoch: 9, Average loss: 0.0333, Accuracy: 0.0552, Time consumed:2.05s
Test set: Epoch: 10, Average loss: 0.0332, Accuracy: 0.0583, Time consumed:1.95s
Test set: Epoch: 11, Average loss: 0.0328, Accuracy: 0.0604, Time consumed:2.01s
Test set: Epoch: 12, Average loss: 0.0333, Accuracy: 0.0623, Time consumed:2.11s
Test set: Epoch: 13, Average loss: 0.0328, Accuracy: 0.0651, Time consumed:2.00s
Test set: Epoch: 14, Average loss: 0.0331, Accuracy: 0.0617, Time consumed:2.15s
Test set: Epoch: 15, Average loss: 0.0329, Accuracy: 0.0681, Time consumed:2.09s
Test set: Epoch: 16, Average loss: 0.0327, Accuracy: 0.0773, Time consumed:2.09s
Test set: Epoch: 17, Average loss: 0.0329, Accuracy: 0.0667, Time consumed:2.00s
Test set: Epoch: 18, Average loss: 0.0322, Accuracy: 0.0813, Time consumed:2.17s
Test set: Epoch: 19, Average loss: 0.0326, Accuracy: 0.0617, Time consumed:2.00s
Test set: Epoch: 20, Average loss: 0.0325, Accuracy: 0.0629, Time consumed:2.12s
Test set: Epoch: 21, Average loss: 0.0323, Accuracy: 0.0760, Time consumed:2.11s
Test set: Epoch: 22, Average loss: 0.0330, Accuracy: 0.0573, Time consumed:2.06s
Test set: Epoch: 23, Average loss: 0.0322, Accuracy: 0.0734, Time consumed:2.17s
Test set: Epoch: 24, Average loss: 0.0319, Accuracy: 0.0825, Time consumed:2.15s
Test set: Epoch: 25, Average loss: 0.0322, Accuracy: 0.0632, Time consumed:1.88s
Test set: Epoch: 26, Average loss: 0.0320, Accuracy: 0.0751, Time consumed:1.95s
Test set: Epoch: 27, Average loss: 0.0318, Accuracy: 0.0765, Time consumed:2.00s
Test set: Epoch: 28, Average loss: 0.0318, Accuracy: 0.0821, Time consumed:2.07s
Test set: Epoch: 29, Average loss: 0.0316, Accuracy: 0.0765, Time consumed:1.99s
Test set: Epoch: 30, Average loss: 0.0315, Accuracy: 0.0862, Time consumed:1.97s
Test set: Epoch: 31, Average loss: 0.0319, Accuracy: 0.0806, Time consumed:2.12s
Test set: Epoch: 32, Average loss: 0.0321, Accuracy: 0.0760, Time consumed:1.98s
Test set: Epoch: 33, Average loss: 0.0321, Accuracy: 0.0827, Time consumed:2.06s
Test set: Epoch: 34, Average loss: 0.0310, Accuracy: 0.0876, Time consumed:1.94s
Test set: Epoch: 35, Average loss: 0.0310, Accuracy: 0.0957, Time consumed:2.07s
Test set: Epoch: 36, Average loss: 0.0310, Accuracy: 0.1027, Time consumed:2.03s
Test set: Epoch: 37, Average loss: 0.0315, Accuracy: 0.0980, Time consumed:2.04s
Test set: Epoch: 38, Average loss: 0.0314, Accuracy: 0.0884, Time consumed:2.10s
Test set: Epoch: 39, Average loss: 0.0311, Accuracy: 0.0999, Time consumed:2.02s
Test set: Epoch: 40, Average loss: 0.0313, Accuracy: 0.0933, Time consumed:2.07s
Test set: Epoch: 41, Average loss: 0.0311, Accuracy: 0.0997, Time consumed:2.10s
Test set: Epoch: 42, Average loss: 0.0307, Accuracy: 0.1131, Time consumed:2.08s
Test set: Epoch: 43, Average loss: 0.0302, Accuracy: 0.1140, Time consumed:1.97s
Test set: Epoch: 44, Average loss: 0.0302, Accuracy: 0.1262, Time consumed:1.91s
Test set: Epoch: 45, Average loss: 0.0307, Accuracy: 0.1109, Time consumed:2.10s
Test set: Epoch: 46, Average loss: 0.0302, Accuracy: 0.1116, Time consumed:2.06s
Test set: Epoch: 47, Average loss: 0.0299, Accuracy: 0.1209, Time consumed:1.99s
Test set: Epoch: 48, Average loss: 0.0303, Accuracy: 0.1047, Time consumed:2.28s
Test set: Epoch: 49, Average loss: 0.0307, Accuracy: 0.1116, Time consumed:2.03s
Test set: Epoch: 50, Average loss: 0.0301, Accuracy: 0.1341, Time consumed:2.00s
Test set: Epoch: 51, Average loss: 0.0295, Accuracy: 0.1489, Time consumed:1.95s
Test set: Epoch: 52, Average loss: 0.0288, Accuracy: 0.1534, Time consumed:2.09s
Test set: Epoch: 53, Average loss: 0.0303, Accuracy: 0.1259, Time consumed:2.03s
Test set: Epoch: 54, Average loss: 0.0296, Accuracy: 0.1459, Time consumed:2.12s
Test set: Epoch: 55, Average loss: 0.0297, Accuracy: 0.1485, Time consumed:2.18s
Test set: Epoch: 56, Average loss: 0.0289, Accuracy: 0.1499, Time consumed:2.08s
Test set: Epoch: 57, Average loss: 0.0295, Accuracy: 0.1360, Time consumed:2.06s
Test set: Epoch: 58, Average loss: 0.0287, Accuracy: 0.1571, Time consumed:2.06s
Test set: Epoch: 59, Average loss: 0.0289, Accuracy: 0.1626, Time consumed:1.99s
Test set: Epoch: 60, Average loss: 0.0249, Accuracy: 0.2665, Time consumed:2.07s
Test set: Epoch: 61, Average loss: 0.0246, Accuracy: 0.2755, Time consumed:2.07s
Test set: Epoch: 62, Average loss: 0.0240, Accuracy: 0.2930, Time consumed:2.13s
Test set: Epoch: 63, Average loss: 0.0238, Accuracy: 0.2964, Time consumed:2.06s
Test set: Epoch: 64, Average loss: 0.0235, Accuracy: 0.3071, Time consumed:2.12s
Test set: Epoch: 65, Average loss: 0.0233, Accuracy: 0.3168, Time consumed:2.10s
Test set: Epoch: 66, Average loss: 0.0232, Accuracy: 0.3247, Time consumed:2.21s
Test set: Epoch: 67, Average loss: 0.0242, Accuracy: 0.2877, Time consumed:2.07s
Test set: Epoch: 68, Average loss: 0.0233, Accuracy: 0.3213, Time consumed:2.03s
Test set: Epoch: 69, Average loss: 0.0233, Accuracy: 0.3107, Time consumed:2.08s
Test set: Epoch: 70, Average loss: 0.0236, Accuracy: 0.3305, Time consumed:1.98s
Test set: Epoch: 71, Average loss: 0.0230, Accuracy: 0.3333, Time consumed:2.12s
Test set: Epoch: 72, Average loss: 0.0230, Accuracy: 0.3420, Time consumed:1.89s
Test set: Epoch: 73, Average loss: 0.0223, Accuracy: 0.3622, Time consumed:2.11s
Test set: Epoch: 74, Average loss: 0.0237, Accuracy: 0.3267, Time consumed:2.08s
Test set: Epoch: 75, Average loss: 0.0222, Accuracy: 0.3493, Time consumed:2.09s
Test set: Epoch: 76, Average loss: 0.0222, Accuracy: 0.3633, Time consumed:2.08s
Test set: Epoch: 77, Average loss: 0.0223, Accuracy: 0.3720, Time consumed:2.09s
Test set: Epoch: 78, Average loss: 0.0227, Accuracy: 0.3562, Time consumed:1.90s
Test set: Epoch: 79, Average loss: 0.0228, Accuracy: 0.3536, Time consumed:2.07s
Test set: Epoch: 80, Average loss: 0.0224, Accuracy: 0.3574, Time consumed:2.17s
Test set: Epoch: 81, Average loss: 0.0223, Accuracy: 0.3718, Time consumed:2.05s
Test set: Epoch: 82, Average loss: 0.0221, Accuracy: 0.3816, Time consumed:2.05s
Test set: Epoch: 83, Average loss: 0.0216, Accuracy: 0.3989, Time consumed:1.94s
Test set: Epoch: 84, Average loss: 0.0223, Accuracy: 0.3672, Time consumed:2.05s
Test set: Epoch: 85, Average loss: 0.0215, Accuracy: 0.3902, Time consumed:2.05s
Test set: Epoch: 86, Average loss: 0.0218, Accuracy: 0.3855, Time consumed:1.99s
Test set: Epoch: 87, Average loss: 0.0226, Accuracy: 0.3660, Time consumed:2.10s
Test set: Epoch: 88, Average loss: 0.0217, Accuracy: 0.3922, Time consumed:1.97s
Test set: Epoch: 89, Average loss: 0.0220, Accuracy: 0.3892, Time consumed:2.03s
Test set: Epoch: 90, Average loss: 0.0216, Accuracy: 0.4060, Time consumed:1.94s
Test set: Epoch: 91, Average loss: 0.0210, Accuracy: 0.4188, Time consumed:2.08s
Test set: Epoch: 92, Average loss: 0.0210, Accuracy: 0.4151, Time consumed:2.15s
Test set: Epoch: 93, Average loss: 0.0208, Accuracy: 0.4183, Time consumed:1.95s
Test set: Epoch: 94, Average loss: 0.0213, Accuracy: 0.4013, Time consumed:2.01s
Test set: Epoch: 95, Average loss: 0.0212, Accuracy: 0.4186, Time consumed:2.05s
