Test set: Epoch: 1, Average loss: 0.0294, Accuracy: 0.1331, Time consumed:1.61s
Test set: Epoch: 2, Average loss: 0.0255, Accuracy: 0.2029, Time consumed:1.62s
Test set: Epoch: 3, Average loss: 0.0228, Accuracy: 0.2750, Time consumed:1.85s
Test set: Epoch: 4, Average loss: 0.0221, Accuracy: 0.2900, Time consumed:1.93s
Test set: Epoch: 5, Average loss: 0.0198, Accuracy: 0.3436, Time consumed:1.65s
Test set: Epoch: 6, Average loss: 0.0174, Accuracy: 0.4150, Time consumed:1.70s
Test set: Epoch: 7, Average loss: 0.0190, Accuracy: 0.3822, Time consumed:1.67s
Test set: Epoch: 8, Average loss: 0.0175, Accuracy: 0.4185, Time consumed:1.86s
Test set: Epoch: 9, Average loss: 0.0175, Accuracy: 0.4279, Time consumed:1.67s
Test set: Epoch: 10, Average loss: 0.0177, Accuracy: 0.4171, Time consumed:1.79s
Test set: Epoch: 11, Average loss: 0.0166, Accuracy: 0.4511, Time consumed:2.03s
Test set: Epoch: 12, Average loss: 0.0156, Accuracy: 0.4776, Time consumed:1.71s
Test set: Epoch: 13, Average loss: 0.0152, Accuracy: 0.4904, Time consumed:1.74s
Test set: Epoch: 14, Average loss: 0.0151, Accuracy: 0.4934, Time consumed:1.59s
Test set: Epoch: 15, Average loss: 0.0149, Accuracy: 0.5091, Time consumed:1.63s
Test set: Epoch: 16, Average loss: 0.0153, Accuracy: 0.4935, Time consumed:1.65s
Test set: Epoch: 17, Average loss: 0.0178, Accuracy: 0.4280, Time consumed:1.75s
Test set: Epoch: 18, Average loss: 0.0158, Accuracy: 0.4795, Time consumed:1.72s
Test set: Epoch: 19, Average loss: 0.0149, Accuracy: 0.5072, Time consumed:1.63s
Test set: Epoch: 20, Average loss: 0.0148, Accuracy: 0.5132, Time consumed:1.61s
Test set: Epoch: 21, Average loss: 0.0142, Accuracy: 0.5261, Time consumed:1.59s
Test set: Epoch: 22, Average loss: 0.0146, Accuracy: 0.5196, Time consumed:1.56s
Test set: Epoch: 23, Average loss: 0.0144, Accuracy: 0.5231, Time consumed:1.59s
Test set: Epoch: 24, Average loss: 0.0156, Accuracy: 0.4768, Time consumed:1.84s
Test set: Epoch: 25, Average loss: 0.0143, Accuracy: 0.5247, Time consumed:1.66s
Test set: Epoch: 26, Average loss: 0.0148, Accuracy: 0.5098, Time consumed:1.75s
Test set: Epoch: 27, Average loss: 0.0135, Accuracy: 0.5403, Time consumed:1.72s
Test set: Epoch: 28, Average loss: 0.0151, Accuracy: 0.4963, Time consumed:1.80s
Test set: Epoch: 29, Average loss: 0.0138, Accuracy: 0.5431, Time consumed:1.66s
Test set: Epoch: 30, Average loss: 0.0158, Accuracy: 0.4886, Time consumed:1.63s
Test set: Epoch: 31, Average loss: 0.0154, Accuracy: 0.5048, Time consumed:1.66s
Test set: Epoch: 32, Average loss: 0.0147, Accuracy: 0.5136, Time consumed:1.68s
Test set: Epoch: 33, Average loss: 0.0132, Accuracy: 0.5581, Time consumed:1.69s
Test set: Epoch: 34, Average loss: 0.0151, Accuracy: 0.5045, Time consumed:1.65s
Test set: Epoch: 35, Average loss: 0.0136, Accuracy: 0.5458, Time consumed:1.69s
Test set: Epoch: 36, Average loss: 0.0135, Accuracy: 0.5477, Time consumed:1.70s
Test set: Epoch: 37, Average loss: 0.0137, Accuracy: 0.5396, Time consumed:1.65s
Test set: Epoch: 38, Average loss: 0.0145, Accuracy: 0.5320, Time consumed:1.88s
Test set: Epoch: 39, Average loss: 0.0157, Accuracy: 0.4938, Time consumed:1.80s
Test set: Epoch: 40, Average loss: 0.0145, Accuracy: 0.5286, Time consumed:1.73s
Test set: Epoch: 41, Average loss: 0.0141, Accuracy: 0.5344, Time consumed:1.70s
Test set: Epoch: 42, Average loss: 0.0143, Accuracy: 0.5269, Time consumed:1.64s
Test set: Epoch: 43, Average loss: 0.0132, Accuracy: 0.5614, Time consumed:1.57s
Test set: Epoch: 44, Average loss: 0.0135, Accuracy: 0.5573, Time consumed:1.60s
Test set: Epoch: 45, Average loss: 0.0136, Accuracy: 0.5439, Time consumed:1.73s
Test set: Epoch: 46, Average loss: 0.0145, Accuracy: 0.5344, Time consumed:1.79s
Test set: Epoch: 47, Average loss: 0.0144, Accuracy: 0.5304, Time consumed:1.70s
Test set: Epoch: 48, Average loss: 0.0133, Accuracy: 0.5581, Time consumed:1.69s
Test set: Epoch: 49, Average loss: 0.0138, Accuracy: 0.5405, Time consumed:1.70s
Test set: Epoch: 50, Average loss: 0.0151, Accuracy: 0.5100, Time consumed:1.95s
Test set: Epoch: 51, Average loss: 0.0137, Accuracy: 0.5501, Time consumed:1.71s
Test set: Epoch: 52, Average loss: 0.0136, Accuracy: 0.5474, Time consumed:1.66s
Test set: Epoch: 53, Average loss: 0.0145, Accuracy: 0.5204, Time consumed:1.65s
Test set: Epoch: 54, Average loss: 0.0137, Accuracy: 0.5431, Time consumed:1.68s
Test set: Epoch: 55, Average loss: 0.0145, Accuracy: 0.5330, Time consumed:1.73s
Test set: Epoch: 56, Average loss: 0.0132, Accuracy: 0.5665, Time consumed:1.76s
Test set: Epoch: 57, Average loss: 0.0147, Accuracy: 0.5228, Time consumed:1.72s
Test set: Epoch: 58, Average loss: 0.0143, Accuracy: 0.5364, Time consumed:1.68s
Test set: Epoch: 59, Average loss: 0.0158, Accuracy: 0.4813, Time consumed:1.62s
Test set: Epoch: 60, Average loss: 0.0088, Accuracy: 0.7079, Time consumed:1.75s
Test set: Epoch: 61, Average loss: 0.0086, Accuracy: 0.7151, Time consumed:1.74s
Test set: Epoch: 62, Average loss: 0.0085, Accuracy: 0.7164, Time consumed:1.72s
Test set: Epoch: 63, Average loss: 0.0087, Accuracy: 0.7140, Time consumed:1.65s
Test set: Epoch: 64, Average loss: 0.0088, Accuracy: 0.7112, Time consumed:1.59s
Test set: Epoch: 65, Average loss: 0.0090, Accuracy: 0.7093, Time consumed:1.69s
Test set: Epoch: 66, Average loss: 0.0088, Accuracy: 0.7047, Time consumed:1.83s
Test set: Epoch: 67, Average loss: 0.0090, Accuracy: 0.7051, Time consumed:1.62s
Test set: Epoch: 68, Average loss: 0.0089, Accuracy: 0.7090, Time consumed:1.66s
Test set: Epoch: 69, Average loss: 0.0088, Accuracy: 0.7089, Time consumed:1.83s
Test set: Epoch: 70, Average loss: 0.0093, Accuracy: 0.6954, Time consumed:1.65s
