Test set: Epoch: 1, Average loss: 0.0330, Accuracy: 0.0566, Time consumed:1.75s
Test set: Epoch: 2, Average loss: 0.0290, Accuracy: 0.1435, Time consumed:1.67s
Test set: Epoch: 3, Average loss: 0.0258, Accuracy: 0.2000, Time consumed:1.99s
Test set: Epoch: 4, Average loss: 0.0251, Accuracy: 0.2264, Time consumed:1.67s
Test set: Epoch: 5, Average loss: 0.0247, Accuracy: 0.2375, Time consumed:1.73s
Test set: Epoch: 6, Average loss: 0.0221, Accuracy: 0.2992, Time consumed:1.89s
Test set: Epoch: 7, Average loss: 0.0216, Accuracy: 0.3084, Time consumed:1.85s
Test set: Epoch: 8, Average loss: 0.0215, Accuracy: 0.3282, Time consumed:1.65s
Test set: Epoch: 9, Average loss: 0.0229, Accuracy: 0.2809, Time consumed:1.65s
Test set: Epoch: 10, Average loss: 0.0211, Accuracy: 0.3288, Time consumed:1.79s
Test set: Epoch: 11, Average loss: 0.0210, Accuracy: 0.3437, Time consumed:1.66s
Test set: Epoch: 12, Average loss: 0.0193, Accuracy: 0.3858, Time consumed:1.67s
Test set: Epoch: 13, Average loss: 0.0246, Accuracy: 0.2915, Time consumed:1.54s
Test set: Epoch: 14, Average loss: 0.0234, Accuracy: 0.2849, Time consumed:1.59s
Test set: Epoch: 15, Average loss: 0.0215, Accuracy: 0.3283, Time consumed:1.65s
Test set: Epoch: 16, Average loss: 0.0184, Accuracy: 0.4114, Time consumed:1.59s
Test set: Epoch: 17, Average loss: 0.0184, Accuracy: 0.4273, Time consumed:1.78s
Test set: Epoch: 18, Average loss: 0.0207, Accuracy: 0.3487, Time consumed:1.70s
