Test set: Epoch: 1, Average loss: 0.0323, Accuracy: 0.0769, Time consumed:8.06s
Test set: Epoch: 2, Average loss: 0.0278, Accuracy: 0.1610, Time consumed:8.03s
Test set: Epoch: 3, Average loss: 0.0261, Accuracy: 0.1986, Time consumed:7.92s
Test set: Epoch: 4, Average loss: 0.0236, Accuracy: 0.2536, Time consumed:7.97s
Test set: Epoch: 5, Average loss: 0.0204, Accuracy: 0.3344, Time consumed:7.89s
Test set: Epoch: 6, Average loss: 0.0196, Accuracy: 0.3689, Time consumed:8.07s
Test set: Epoch: 7, Average loss: 0.0185, Accuracy: 0.3919, Time consumed:7.99s
Test set: Epoch: 8, Average loss: 0.0185, Accuracy: 0.4048, Time consumed:8.03s
Test set: Epoch: 9, Average loss: 0.0167, Accuracy: 0.4445, Time consumed:7.90s
Test set: Epoch: 10, Average loss: 0.0153, Accuracy: 0.4762, Time consumed:8.11s
Test set: Epoch: 11, Average loss: 0.0160, Accuracy: 0.4568, Time consumed:8.06s
Test set: Epoch: 12, Average loss: 0.0152, Accuracy: 0.4903, Time consumed:8.12s
Test set: Epoch: 13, Average loss: 0.0150, Accuracy: 0.4982, Time consumed:7.93s
Test set: Epoch: 14, Average loss: 0.0160, Accuracy: 0.4820, Time consumed:8.10s
Test set: Epoch: 15, Average loss: 0.0153, Accuracy: 0.4881, Time consumed:8.02s
Test set: Epoch: 16, Average loss: 0.0142, Accuracy: 0.5203, Time consumed:8.07s
Test set: Epoch: 17, Average loss: 0.0154, Accuracy: 0.4905, Time consumed:8.06s
Test set: Epoch: 18, Average loss: 0.0147, Accuracy: 0.5134, Time consumed:8.07s
Test set: Epoch: 19, Average loss: 0.0128, Accuracy: 0.5536, Time consumed:8.19s
Test set: Epoch: 20, Average loss: 0.0139, Accuracy: 0.5261, Time consumed:8.21s
Test set: Epoch: 21, Average loss: 0.0145, Accuracy: 0.5181, Time consumed:7.98s
Test set: Epoch: 22, Average loss: 0.0130, Accuracy: 0.5450, Time consumed:7.95s
Test set: Epoch: 23, Average loss: 0.0124, Accuracy: 0.5518, Time consumed:8.11s
Test set: Epoch: 24, Average loss: 0.0130, Accuracy: 0.5452, Time consumed:8.09s
Test set: Epoch: 25, Average loss: 0.0136, Accuracy: 0.5344, Time consumed:8.04s
Test set: Epoch: 26, Average loss: 0.0142, Accuracy: 0.5374, Time consumed:7.92s
Test set: Epoch: 27, Average loss: 0.0125, Accuracy: 0.5567, Time consumed:7.97s
