Test set: Epoch: 1, Average loss: 0.0337, Accuracy: 0.0623, Time consumed:1.68s
Test set: Epoch: 2, Average loss: 0.0327, Accuracy: 0.0965, Time consumed:1.72s
Test set: Epoch: 3, Average loss: 0.0318, Accuracy: 0.1129, Time consumed:1.61s
Test set: Epoch: 4, Average loss: 0.0311, Accuracy: 0.1385, Time consumed:1.74s
Test set: Epoch: 5, Average loss: 0.0307, Accuracy: 0.1419, Time consumed:1.70s
Test set: Epoch: 6, Average loss: 0.0296, Accuracy: 0.1823, Time consumed:1.62s
Test set: Epoch: 7, Average loss: 0.0288, Accuracy: 0.1804, Time consumed:1.69s
Test set: Epoch: 8, Average loss: 0.0282, Accuracy: 0.2052, Time consumed:1.70s
Test set: Epoch: 9, Average loss: 0.0277, Accuracy: 0.2171, Time consumed:1.64s
Test set: Epoch: 10, Average loss: 0.0270, Accuracy: 0.2340, Time consumed:1.64s
Test set: Epoch: 11, Average loss: 0.0270, Accuracy: 0.2379, Time consumed:1.80s
Test set: Epoch: 12, Average loss: 0.0260, Accuracy: 0.2616, Time consumed:1.69s
Test set: Epoch: 13, Average loss: 0.0266, Accuracy: 0.2515, Time consumed:1.76s
Test set: Epoch: 14, Average loss: 0.0265, Accuracy: 0.2443, Time consumed:1.74s
Test set: Epoch: 15, Average loss: 0.0257, Accuracy: 0.2807, Time consumed:1.60s
Test set: Epoch: 16, Average loss: 0.0249, Accuracy: 0.3118, Time consumed:1.69s
Test set: Epoch: 17, Average loss: 0.0244, Accuracy: 0.3277, Time consumed:1.65s
Test set: Epoch: 18, Average loss: 0.0243, Accuracy: 0.3279, Time consumed:1.65s
Test set: Epoch: 19, Average loss: 0.0248, Accuracy: 0.3102, Time consumed:1.73s
Test set: Epoch: 20, Average loss: 0.0244, Accuracy: 0.3182, Time consumed:1.57s
Test set: Epoch: 21, Average loss: 0.0242, Accuracy: 0.3038, Time consumed:1.73s
Test set: Epoch: 22, Average loss: 0.0238, Accuracy: 0.3305, Time consumed:1.63s
Test set: Epoch: 23, Average loss: 0.0235, Accuracy: 0.3513, Time consumed:1.60s
Test set: Epoch: 24, Average loss: 0.0230, Accuracy: 0.3633, Time consumed:1.76s
