Test set: Epoch: 1, Average loss: 0.0345, Accuracy: 0.0406, Time consumed:1.78s
Test set: Epoch: 2, Average loss: 0.0319, Accuracy: 0.0912, Time consumed:1.76s
Test set: Epoch: 3, Average loss: 0.0314, Accuracy: 0.1125, Time consumed:1.94s
Test set: Epoch: 4, Average loss: 0.0304, Accuracy: 0.1284, Time consumed:1.68s
Test set: Epoch: 5, Average loss: 0.0301, Accuracy: 0.1299, Time consumed:1.77s
Test set: Epoch: 6, Average loss: 0.0292, Accuracy: 0.1497, Time consumed:1.69s
Test set: Epoch: 7, Average loss: 0.0288, Accuracy: 0.1680, Time consumed:1.79s
Test set: Epoch: 8, Average loss: 0.0271, Accuracy: 0.2190, Time consumed:1.68s
Test set: Epoch: 9, Average loss: 0.0274, Accuracy: 0.1935, Time consumed:1.80s
Test set: Epoch: 10, Average loss: 0.0267, Accuracy: 0.2082, Time consumed:1.70s
Test set: Epoch: 11, Average loss: 0.0271, Accuracy: 0.2024, Time consumed:1.89s
Test set: Epoch: 12, Average loss: 0.0249, Accuracy: 0.2818, Time consumed:1.71s
Test set: Epoch: 13, Average loss: 0.0247, Accuracy: 0.2722, Time consumed:1.72s
Test set: Epoch: 14, Average loss: 0.0269, Accuracy: 0.2131, Time consumed:1.91s
Test set: Epoch: 15, Average loss: 0.0264, Accuracy: 0.2339, Time consumed:1.72s
Test set: Epoch: 16, Average loss: 0.0262, Accuracy: 0.2516, Time consumed:1.73s
Test set: Epoch: 17, Average loss: 0.0264, Accuracy: 0.2416, Time consumed:1.91s
Test set: Epoch: 18, Average loss: 0.0256, Accuracy: 0.2815, Time consumed:1.66s
Test set: Epoch: 19, Average loss: 0.0244, Accuracy: 0.2858, Time consumed:1.71s
Test set: Epoch: 20, Average loss: 0.0242, Accuracy: 0.2988, Time consumed:1.64s
Test set: Epoch: 21, Average loss: 0.0247, Accuracy: 0.2638, Time consumed:1.81s
Test set: Epoch: 22, Average loss: 0.0238, Accuracy: 0.3026, Time consumed:1.79s
Test set: Epoch: 23, Average loss: 0.0251, Accuracy: 0.2764, Time consumed:1.86s
Test set: Epoch: 24, Average loss: 0.0247, Accuracy: 0.2805, Time consumed:1.89s
Test set: Epoch: 25, Average loss: 0.0238, Accuracy: 0.3109, Time consumed:1.75s
Test set: Epoch: 26, Average loss: 0.0240, Accuracy: 0.3066, Time consumed:1.82s
Test set: Epoch: 27, Average loss: 0.0224, Accuracy: 0.3561, Time consumed:1.81s
Test set: Epoch: 28, Average loss: 0.0271, Accuracy: 0.2412, Time consumed:1.79s
Test set: Epoch: 29, Average loss: 0.0262, Accuracy: 0.2586, Time consumed:1.82s
Test set: Epoch: 30, Average loss: 0.0221, Accuracy: 0.3645, Time consumed:1.72s
Test set: Epoch: 31, Average loss: 0.0253, Accuracy: 0.2825, Time consumed:1.81s
Test set: Epoch: 32, Average loss: 0.0239, Accuracy: 0.3120, Time consumed:1.69s
Test set: Epoch: 33, Average loss: 0.0244, Accuracy: 0.3160, Time consumed:1.90s
Test set: Epoch: 34, Average loss: 0.0225, Accuracy: 0.3604, Time consumed:1.92s
Test set: Epoch: 35, Average loss: 0.0255, Accuracy: 0.2950, Time consumed:1.85s
Test set: Epoch: 36, Average loss: 0.0244, Accuracy: 0.3075, Time consumed:1.65s
Test set: Epoch: 37, Average loss: 0.0229, Accuracy: 0.3517, Time consumed:1.76s
Test set: Epoch: 38, Average loss: 0.0235, Accuracy: 0.3243, Time consumed:1.78s
Test set: Epoch: 39, Average loss: 0.0228, Accuracy: 0.3312, Time consumed:1.76s
Test set: Epoch: 40, Average loss: 0.0230, Accuracy: 0.3492, Time consumed:1.83s
Test set: Epoch: 41, Average loss: 0.0241, Accuracy: 0.3171, Time consumed:1.79s
Test set: Epoch: 42, Average loss: 0.0239, Accuracy: 0.3103, Time consumed:1.78s
Test set: Epoch: 43, Average loss: 0.0250, Accuracy: 0.2855, Time consumed:1.76s
Test set: Epoch: 44, Average loss: 0.0257, Accuracy: 0.2701, Time consumed:1.65s
Test set: Epoch: 45, Average loss: 0.0236, Accuracy: 0.3316, Time consumed:1.67s
Test set: Epoch: 46, Average loss: 0.0253, Accuracy: 0.2675, Time consumed:1.76s
Test set: Epoch: 47, Average loss: 0.0266, Accuracy: 0.2529, Time consumed:1.80s
Test set: Epoch: 48, Average loss: 0.0231, Accuracy: 0.3340, Time consumed:1.81s
Test set: Epoch: 49, Average loss: 0.0245, Accuracy: 0.3017, Time consumed:1.70s
Test set: Epoch: 50, Average loss: 0.0240, Accuracy: 0.2979, Time consumed:1.71s
Test set: Epoch: 51, Average loss: 0.0232, Accuracy: 0.3399, Time consumed:1.75s
Test set: Epoch: 52, Average loss: 0.0260, Accuracy: 0.2574, Time consumed:1.82s
Test set: Epoch: 53, Average loss: 0.0241, Accuracy: 0.3119, Time consumed:1.76s
Test set: Epoch: 54, Average loss: 0.0270, Accuracy: 0.2304, Time consumed:1.80s
Test set: Epoch: 55, Average loss: 0.0228, Accuracy: 0.3424, Time consumed:1.74s
Test set: Epoch: 56, Average loss: 0.0244, Accuracy: 0.3148, Time consumed:1.85s
Test set: Epoch: 57, Average loss: 0.0243, Accuracy: 0.3183, Time consumed:1.70s
Test set: Epoch: 58, Average loss: 0.0298, Accuracy: 0.1902, Time consumed:1.73s
Test set: Epoch: 59, Average loss: 0.0236, Accuracy: 0.3077, Time consumed:1.77s
Test set: Epoch: 60, Average loss: 0.0166, Accuracy: 0.5532, Time consumed:1.65s
Test set: Epoch: 61, Average loss: 0.0170, Accuracy: 0.5529, Time consumed:1.72s
Test set: Epoch: 62, Average loss: 0.0165, Accuracy: 0.5674, Time consumed:1.77s
Test set: Epoch: 63, Average loss: 0.0168, Accuracy: 0.5685, Time consumed:1.72s
Test set: Epoch: 64, Average loss: 0.0164, Accuracy: 0.5755, Time consumed:1.75s
Test set: Epoch: 65, Average loss: 0.0165, Accuracy: 0.5694, Time consumed:1.68s
