Test set: Epoch: 1, Average loss: 0.0336, Accuracy: 0.0559, Time consumed:3.20s
Test set: Epoch: 2, Average loss: 0.0322, Accuracy: 0.0780, Time consumed:2.98s
Test set: Epoch: 3, Average loss: 0.0313, Accuracy: 0.0828, Time consumed:1.95s
Test set: Epoch: 4, Average loss: 0.0305, Accuracy: 0.1076, Time consumed:2.67s
Test set: Epoch: 5, Average loss: 0.0301, Accuracy: 0.1281, Time consumed:2.84s
Test set: Epoch: 6, Average loss: 0.0308, Accuracy: 0.1131, Time consumed:1.83s
Test set: Epoch: 7, Average loss: 0.0293, Accuracy: 0.1371, Time consumed:2.26s
Test set: Epoch: 8, Average loss: 0.0286, Accuracy: 0.1658, Time consumed:2.75s
Test set: Epoch: 9, Average loss: 0.0287, Accuracy: 0.1559, Time consumed:3.01s
Test set: Epoch: 10, Average loss: 0.0280, Accuracy: 0.1769, Time consumed:1.97s
Test set: Epoch: 11, Average loss: 0.0273, Accuracy: 0.2072, Time consumed:2.12s
Test set: Epoch: 12, Average loss: 0.0271, Accuracy: 0.1990, Time consumed:2.57s
Test set: Epoch: 13, Average loss: 0.0270, Accuracy: 0.2041, Time consumed:2.72s
Test set: Epoch: 14, Average loss: 0.0274, Accuracy: 0.1912, Time consumed:2.40s
Test set: Epoch: 15, Average loss: 0.0256, Accuracy: 0.2383, Time consumed:2.61s
Test set: Epoch: 16, Average loss: 0.0247, Accuracy: 0.2686, Time consumed:2.87s
Test set: Epoch: 17, Average loss: 0.0248, Accuracy: 0.2766, Time consumed:2.77s
Test set: Epoch: 18, Average loss: 0.0263, Accuracy: 0.2293, Time consumed:2.88s
Test set: Epoch: 19, Average loss: 0.0251, Accuracy: 0.2577, Time consumed:2.05s
Test set: Epoch: 20, Average loss: 0.0250, Accuracy: 0.2731, Time consumed:2.86s
Test set: Epoch: 21, Average loss: 0.0252, Accuracy: 0.2732, Time consumed:2.78s
Test set: Epoch: 22, Average loss: 0.0244, Accuracy: 0.2842, Time consumed:2.82s
Test set: Epoch: 23, Average loss: 0.0246, Accuracy: 0.2903, Time consumed:2.14s
Test set: Epoch: 24, Average loss: 0.0251, Accuracy: 0.2706, Time consumed:2.77s
Test set: Epoch: 25, Average loss: 0.0240, Accuracy: 0.2896, Time consumed:2.63s
Test set: Epoch: 26, Average loss: 0.0247, Accuracy: 0.2858, Time consumed:2.75s
Test set: Epoch: 27, Average loss: 0.0247, Accuracy: 0.2888, Time consumed:2.12s
Test set: Epoch: 28, Average loss: 0.0249, Accuracy: 0.2695, Time consumed:2.75s
Test set: Epoch: 29, Average loss: 0.0238, Accuracy: 0.3203, Time consumed:2.95s
Test set: Epoch: 30, Average loss: 0.0234, Accuracy: 0.3154, Time consumed:2.79s
Test set: Epoch: 31, Average loss: 0.0243, Accuracy: 0.2997, Time consumed:2.32s
Test set: Epoch: 32, Average loss: 0.0235, Accuracy: 0.3257, Time consumed:2.71s
Test set: Epoch: 33, Average loss: 0.0245, Accuracy: 0.2948, Time consumed:2.98s
Test set: Epoch: 34, Average loss: 0.0231, Accuracy: 0.3408, Time consumed:2.07s
Test set: Epoch: 35, Average loss: 0.0237, Accuracy: 0.3196, Time consumed:2.89s
Test set: Epoch: 36, Average loss: 0.0236, Accuracy: 0.3189, Time consumed:2.86s
Test set: Epoch: 37, Average loss: 0.0236, Accuracy: 0.3342, Time consumed:2.69s
Test set: Epoch: 38, Average loss: 0.0219, Accuracy: 0.3576, Time consumed:1.99s
Test set: Epoch: 39, Average loss: 0.0221, Accuracy: 0.3675, Time consumed:2.83s
Test set: Epoch: 40, Average loss: 0.0233, Accuracy: 0.3278, Time consumed:2.46s
Test set: Epoch: 41, Average loss: 0.0229, Accuracy: 0.3495, Time consumed:2.92s
