Test set: Epoch: 1, Average loss: 0.0325, Accuracy: 0.0598, Time consumed:2.72s
Test set: Epoch: 2, Average loss: 0.0318, Accuracy: 0.0769, Time consumed:2.77s
Test set: Epoch: 3, Average loss: 0.0306, Accuracy: 0.1041, Time consumed:2.03s
Test set: Epoch: 4, Average loss: 0.0303, Accuracy: 0.1097, Time consumed:2.79s
Test set: Epoch: 5, Average loss: 0.0296, Accuracy: 0.1199, Time consumed:2.67s
Test set: Epoch: 6, Average loss: 0.0292, Accuracy: 0.1375, Time consumed:2.82s
Test set: Epoch: 7, Average loss: 0.0289, Accuracy: 0.1425, Time consumed:2.80s
Test set: Epoch: 8, Average loss: 0.0259, Accuracy: 0.1975, Time consumed:2.05s
Test set: Epoch: 9, Average loss: 0.0265, Accuracy: 0.1931, Time consumed:2.41s
Test set: Epoch: 10, Average loss: 0.0269, Accuracy: 0.1963, Time consumed:2.68s
Test set: Epoch: 11, Average loss: 0.0268, Accuracy: 0.1917, Time consumed:2.62s
Test set: Epoch: 12, Average loss: 0.0232, Accuracy: 0.2878, Time consumed:2.86s
Test set: Epoch: 13, Average loss: 0.0245, Accuracy: 0.2359, Time consumed:2.22s
Test set: Epoch: 14, Average loss: 0.0238, Accuracy: 0.2724, Time consumed:2.78s
Test set: Epoch: 15, Average loss: 0.0231, Accuracy: 0.2864, Time consumed:2.92s
Test set: Epoch: 16, Average loss: 0.0231, Accuracy: 0.2937, Time consumed:3.03s
Test set: Epoch: 17, Average loss: 0.0224, Accuracy: 0.3227, Time consumed:1.66s
Test set: Epoch: 18, Average loss: 0.0230, Accuracy: 0.3051, Time consumed:2.07s
Test set: Epoch: 19, Average loss: 0.0225, Accuracy: 0.3272, Time consumed:2.76s
Test set: Epoch: 20, Average loss: 0.0218, Accuracy: 0.3466, Time consumed:2.84s
Test set: Epoch: 21, Average loss: 0.0206, Accuracy: 0.3722, Time consumed:2.88s
Test set: Epoch: 22, Average loss: 0.0226, Accuracy: 0.3447, Time consumed:2.77s
Test set: Epoch: 23, Average loss: 0.0237, Accuracy: 0.3017, Time consumed:2.10s
Test set: Epoch: 24, Average loss: 0.0211, Accuracy: 0.3742, Time consumed:2.72s
Test set: Epoch: 25, Average loss: 0.0207, Accuracy: 0.3838, Time consumed:3.01s
Test set: Epoch: 26, Average loss: 0.0200, Accuracy: 0.3967, Time consumed:3.19s
Test set: Epoch: 27, Average loss: 0.0207, Accuracy: 0.3803, Time consumed:2.88s
Test set: Epoch: 28, Average loss: 0.0215, Accuracy: 0.3489, Time consumed:2.65s
Test set: Epoch: 29, Average loss: 0.0205, Accuracy: 0.3826, Time consumed:2.15s
Test set: Epoch: 30, Average loss: 0.0208, Accuracy: 0.3853, Time consumed:2.71s
