Test set: Epoch: 1, Average loss: 0.0305, Accuracy: 0.0877, Time consumed:2.64s
Test set: Epoch: 2, Average loss: 0.0288, Accuracy: 0.1251, Time consumed:2.32s
Test set: Epoch: 3, Average loss: 0.0272, Accuracy: 0.1613, Time consumed:2.02s
Test set: Epoch: 4, Average loss: 0.0264, Accuracy: 0.1813, Time consumed:2.47s
Test set: Epoch: 5, Average loss: 0.0241, Accuracy: 0.2394, Time consumed:2.87s
Test set: Epoch: 6, Average loss: 0.0239, Accuracy: 0.2486, Time consumed:3.05s
Test set: Epoch: 7, Average loss: 0.0224, Accuracy: 0.2805, Time consumed:3.02s
Test set: Epoch: 8, Average loss: 0.0232, Accuracy: 0.2559, Time consumed:2.98s
Test set: Epoch: 9, Average loss: 0.0228, Accuracy: 0.2828, Time consumed:2.93s
Test set: Epoch: 10, Average loss: 0.0210, Accuracy: 0.3287, Time consumed:3.18s
Test set: Epoch: 11, Average loss: 0.0211, Accuracy: 0.3323, Time consumed:3.05s
Test set: Epoch: 12, Average loss: 0.0222, Accuracy: 0.3097, Time consumed:2.98s
Test set: Epoch: 13, Average loss: 0.0199, Accuracy: 0.3591, Time consumed:2.98s
Test set: Epoch: 14, Average loss: 0.0195, Accuracy: 0.3852, Time consumed:3.16s
Test set: Epoch: 15, Average loss: 0.0190, Accuracy: 0.3952, Time consumed:2.99s
Test set: Epoch: 16, Average loss: 0.0191, Accuracy: 0.3935, Time consumed:3.09s
Test set: Epoch: 17, Average loss: 0.0210, Accuracy: 0.3549, Time consumed:2.85s
Test set: Epoch: 18, Average loss: 0.0186, Accuracy: 0.4048, Time consumed:2.75s
Test set: Epoch: 19, Average loss: 0.0196, Accuracy: 0.3821, Time consumed:2.12s
Test set: Epoch: 20, Average loss: 0.0201, Accuracy: 0.3657, Time consumed:2.06s
Test set: Epoch: 21, Average loss: 0.0219, Accuracy: 0.3323, Time consumed:2.31s
Test set: Epoch: 22, Average loss: 0.0191, Accuracy: 0.3923, Time consumed:2.99s
Test set: Epoch: 23, Average loss: 0.0188, Accuracy: 0.4041, Time consumed:2.68s
Test set: Epoch: 24, Average loss: 0.0178, Accuracy: 0.4300, Time consumed:2.79s
Test set: Epoch: 25, Average loss: 0.0182, Accuracy: 0.4172, Time consumed:2.84s
Test set: Epoch: 26, Average loss: 0.0171, Accuracy: 0.4541, Time consumed:2.86s
Test set: Epoch: 27, Average loss: 0.0190, Accuracy: 0.4066, Time consumed:2.97s
Test set: Epoch: 28, Average loss: 0.0189, Accuracy: 0.4061, Time consumed:3.20s
Test set: Epoch: 29, Average loss: 0.0183, Accuracy: 0.4190, Time consumed:2.52s
Test set: Epoch: 30, Average loss: 0.0184, Accuracy: 0.4269, Time consumed:2.86s
Test set: Epoch: 31, Average loss: 0.0184, Accuracy: 0.4286, Time consumed:2.63s
Test set: Epoch: 32, Average loss: 0.0187, Accuracy: 0.4107, Time consumed:1.97s
Test set: Epoch: 33, Average loss: 0.0184, Accuracy: 0.4323, Time consumed:2.21s
Test set: Epoch: 34, Average loss: 0.0187, Accuracy: 0.4184, Time consumed:2.74s
Test set: Epoch: 35, Average loss: 0.0182, Accuracy: 0.4309, Time consumed:2.79s
Test set: Epoch: 36, Average loss: 0.0195, Accuracy: 0.3998, Time consumed:2.96s
Test set: Epoch: 37, Average loss: 0.0179, Accuracy: 0.4387, Time consumed:2.96s
Test set: Epoch: 38, Average loss: 0.0192, Accuracy: 0.3928, Time consumed:3.03s
Test set: Epoch: 39, Average loss: 0.0181, Accuracy: 0.4355, Time consumed:3.00s
Test set: Epoch: 40, Average loss: 0.0184, Accuracy: 0.4233, Time consumed:2.83s
Test set: Epoch: 41, Average loss: 0.0186, Accuracy: 0.4200, Time consumed:3.00s
Test set: Epoch: 42, Average loss: 0.0174, Accuracy: 0.4592, Time consumed:2.84s
Test set: Epoch: 43, Average loss: 0.0178, Accuracy: 0.4458, Time consumed:2.75s
Test set: Epoch: 44, Average loss: 0.0178, Accuracy: 0.4351, Time consumed:2.90s
Test set: Epoch: 45, Average loss: 0.0176, Accuracy: 0.4478, Time consumed:2.74s
Test set: Epoch: 46, Average loss: 0.0175, Accuracy: 0.4510, Time consumed:2.00s
Test set: Epoch: 47, Average loss: 0.0181, Accuracy: 0.4435, Time consumed:2.01s
Test set: Epoch: 48, Average loss: 0.0184, Accuracy: 0.4265, Time consumed:2.54s
Test set: Epoch: 49, Average loss: 0.0180, Accuracy: 0.4396, Time consumed:2.69s
Test set: Epoch: 50, Average loss: 0.0179, Accuracy: 0.4437, Time consumed:2.83s
Test set: Epoch: 51, Average loss: 0.0168, Accuracy: 0.4771, Time consumed:3.03s
Test set: Epoch: 52, Average loss: 0.0172, Accuracy: 0.4653, Time consumed:2.74s
Test set: Epoch: 53, Average loss: 0.0179, Accuracy: 0.4369, Time consumed:2.67s
Test set: Epoch: 54, Average loss: 0.0169, Accuracy: 0.4580, Time consumed:2.86s
Test set: Epoch: 55, Average loss: 0.0175, Accuracy: 0.4503, Time consumed:2.67s
Test set: Epoch: 56, Average loss: 0.0165, Accuracy: 0.4763, Time consumed:2.12s
Test set: Epoch: 57, Average loss: 0.0189, Accuracy: 0.4226, Time consumed:3.13s
Test set: Epoch: 58, Average loss: 0.0186, Accuracy: 0.4308, Time consumed:2.78s
Test set: Epoch: 59, Average loss: 0.0193, Accuracy: 0.4113, Time consumed:2.95s
Test set: Epoch: 60, Average loss: 0.0117, Accuracy: 0.6129, Time consumed:2.76s
Test set: Epoch: 61, Average loss: 0.0115, Accuracy: 0.6195, Time consumed:2.78s
Test set: Epoch: 62, Average loss: 0.0115, Accuracy: 0.6171, Time consumed:3.08s
Test set: Epoch: 63, Average loss: 0.0112, Accuracy: 0.6277, Time consumed:3.01s
Test set: Epoch: 64, Average loss: 0.0115, Accuracy: 0.6199, Time consumed:2.78s
Test set: Epoch: 65, Average loss: 0.0116, Accuracy: 0.6162, Time consumed:1.99s
Test set: Epoch: 66, Average loss: 0.0117, Accuracy: 0.6162, Time consumed:2.24s
Test set: Epoch: 67, Average loss: 0.0118, Accuracy: 0.6147, Time consumed:2.90s
Test set: Epoch: 68, Average loss: 0.0122, Accuracy: 0.6072, Time consumed:2.98s
Test set: Epoch: 69, Average loss: 0.0116, Accuracy: 0.6219, Time consumed:2.98s
Test set: Epoch: 70, Average loss: 0.0116, Accuracy: 0.6243, Time consumed:2.79s
Test set: Epoch: 71, Average loss: 0.0124, Accuracy: 0.6063, Time consumed:3.08s
Test set: Epoch: 72, Average loss: 0.0123, Accuracy: 0.6054, Time consumed:3.05s
Test set: Epoch: 73, Average loss: 0.0124, Accuracy: 0.6021, Time consumed:2.89s
Test set: Epoch: 74, Average loss: 0.0118, Accuracy: 0.6208, Time consumed:2.95s
Test set: Epoch: 75, Average loss: 0.0124, Accuracy: 0.5956, Time consumed:2.67s
Test set: Epoch: 76, Average loss: 0.0120, Accuracy: 0.6158, Time consumed:2.65s
Test set: Epoch: 77, Average loss: 0.0124, Accuracy: 0.6032, Time consumed:2.95s
Test set: Epoch: 78, Average loss: 0.0138, Accuracy: 0.5714, Time consumed:2.34s
Test set: Epoch: 79, Average loss: 0.0121, Accuracy: 0.6072, Time consumed:1.94s
Test set: Epoch: 80, Average loss: 0.0118, Accuracy: 0.6260, Time consumed:2.31s
Test set: Epoch: 81, Average loss: 0.0121, Accuracy: 0.6131, Time consumed:2.16s
Test set: Epoch: 82, Average loss: 0.0121, Accuracy: 0.6127, Time consumed:2.48s
Test set: Epoch: 83, Average loss: 0.0121, Accuracy: 0.6085, Time consumed:3.02s
Test set: Epoch: 84, Average loss: 0.0119, Accuracy: 0.6200, Time consumed:2.77s
Test set: Epoch: 85, Average loss: 0.0121, Accuracy: 0.6152, Time consumed:2.98s
Test set: Epoch: 86, Average loss: 0.0132, Accuracy: 0.5870, Time consumed:2.79s
Test set: Epoch: 87, Average loss: 0.0120, Accuracy: 0.6215, Time consumed:3.23s
Test set: Epoch: 88, Average loss: 0.0123, Accuracy: 0.6075, Time consumed:2.77s
Test set: Epoch: 89, Average loss: 0.0127, Accuracy: 0.6000, Time consumed:3.05s
Test set: Epoch: 90, Average loss: 0.0120, Accuracy: 0.6237, Time consumed:3.12s
Test set: Epoch: 91, Average loss: 0.0123, Accuracy: 0.6132, Time consumed:3.09s
Test set: Epoch: 92, Average loss: 0.0127, Accuracy: 0.6013, Time consumed:2.88s
Test set: Epoch: 93, Average loss: 0.0124, Accuracy: 0.6059, Time consumed:2.89s
Test set: Epoch: 94, Average loss: 0.0121, Accuracy: 0.6151, Time consumed:2.42s
Test set: Epoch: 95, Average loss: 0.0126, Accuracy: 0.6031, Time consumed:2.25s
Test set: Epoch: 96, Average loss: 0.0123, Accuracy: 0.6158, Time consumed:2.27s
Test set: Epoch: 97, Average loss: 0.0123, Accuracy: 0.6156, Time consumed:1.96s
Test set: Epoch: 98, Average loss: 0.0124, Accuracy: 0.6090, Time consumed:2.14s
Test set: Epoch: 99, Average loss: 0.0129, Accuracy: 0.6020, Time consumed:2.40s
Test set: Epoch: 100, Average loss: 0.0124, Accuracy: 0.6065, Time consumed:2.92s
Test set: Epoch: 101, Average loss: 0.0120, Accuracy: 0.6202, Time consumed:2.91s
Test set: Epoch: 102, Average loss: 0.0132, Accuracy: 0.5968, Time consumed:2.95s
Test set: Epoch: 103, Average loss: 0.0125, Accuracy: 0.6133, Time consumed:2.87s
Test set: Epoch: 104, Average loss: 0.0126, Accuracy: 0.6098, Time consumed:3.06s
Test set: Epoch: 105, Average loss: 0.0123, Accuracy: 0.6148, Time consumed:2.87s
Test set: Epoch: 106, Average loss: 0.0126, Accuracy: 0.6073, Time consumed:2.96s
Test set: Epoch: 107, Average loss: 0.0124, Accuracy: 0.6083, Time consumed:2.74s
Test set: Epoch: 108, Average loss: 0.0122, Accuracy: 0.6220, Time consumed:2.83s
Test set: Epoch: 109, Average loss: 0.0126, Accuracy: 0.6078, Time consumed:2.73s
Test set: Epoch: 110, Average loss: 0.0126, Accuracy: 0.6074, Time consumed:3.10s
Test set: Epoch: 111, Average loss: 0.0131, Accuracy: 0.6001, Time consumed:3.18s
Test set: Epoch: 112, Average loss: 0.0128, Accuracy: 0.5991, Time consumed:2.96s
Test set: Epoch: 113, Average loss: 0.0126, Accuracy: 0.6075, Time consumed:3.17s
Test set: Epoch: 114, Average loss: 0.0124, Accuracy: 0.6134, Time consumed:2.80s
Test set: Epoch: 115, Average loss: 0.0124, Accuracy: 0.6168, Time consumed:2.65s
Test set: Epoch: 116, Average loss: 0.0126, Accuracy: 0.6149, Time consumed:2.93s
Test set: Epoch: 117, Average loss: 0.0124, Accuracy: 0.6212, Time consumed:2.26s
Test set: Epoch: 118, Average loss: 0.0122, Accuracy: 0.6248, Time consumed:2.24s
Test set: Epoch: 119, Average loss: 0.0126, Accuracy: 0.6119, Time consumed:2.76s
Test set: Epoch: 120, Average loss: 0.0102, Accuracy: 0.6790, Time consumed:2.70s
Test set: Epoch: 121, Average loss: 0.0103, Accuracy: 0.6799, Time consumed:2.84s
Test set: Epoch: 122, Average loss: 0.0102, Accuracy: 0.6833, Time consumed:2.84s
