Test set: Epoch: 1, Average loss: 0.0339, Accuracy: 0.0321, Time consumed:1.93s
Test set: Epoch: 2, Average loss: 0.0326, Accuracy: 0.0517, Time consumed:1.96s
Test set: Epoch: 3, Average loss: 0.0318, Accuracy: 0.0574, Time consumed:2.27s
Test set: Epoch: 4, Average loss: 0.0314, Accuracy: 0.0689, Time consumed:2.09s
Test set: Epoch: 5, Average loss: 0.0315, Accuracy: 0.0790, Time consumed:1.96s
Test set: Epoch: 6, Average loss: 0.0310, Accuracy: 0.0884, Time consumed:2.27s
Test set: Epoch: 7, Average loss: 0.0306, Accuracy: 0.0847, Time consumed:2.07s
Test set: Epoch: 8, Average loss: 0.0294, Accuracy: 0.1093, Time consumed:2.09s
Test set: Epoch: 9, Average loss: 0.0287, Accuracy: 0.1210, Time consumed:2.07s
Test set: Epoch: 10, Average loss: 0.0281, Accuracy: 0.1316, Time consumed:1.98s
Test set: Epoch: 11, Average loss: 0.0301, Accuracy: 0.1193, Time consumed:2.04s
Test set: Epoch: 12, Average loss: 0.0285, Accuracy: 0.1320, Time consumed:2.10s
Test set: Epoch: 13, Average loss: 0.0269, Accuracy: 0.1555, Time consumed:2.02s
Test set: Epoch: 14, Average loss: 0.0278, Accuracy: 0.1536, Time consumed:1.93s
Test set: Epoch: 15, Average loss: 0.0285, Accuracy: 0.1522, Time consumed:2.05s
Test set: Epoch: 16, Average loss: 0.0260, Accuracy: 0.1911, Time consumed:2.13s
Test set: Epoch: 17, Average loss: 0.0259, Accuracy: 0.1866, Time consumed:2.07s
Test set: Epoch: 18, Average loss: 0.0261, Accuracy: 0.2022, Time consumed:2.03s
Test set: Epoch: 19, Average loss: 0.0259, Accuracy: 0.1978, Time consumed:2.24s
Test set: Epoch: 20, Average loss: 0.0252, Accuracy: 0.2089, Time consumed:2.05s
Test set: Epoch: 21, Average loss: 0.0281, Accuracy: 0.1614, Time consumed:2.10s
Test set: Epoch: 22, Average loss: 0.0235, Accuracy: 0.2682, Time consumed:1.96s
Test set: Epoch: 23, Average loss: 0.0241, Accuracy: 0.2545, Time consumed:2.05s
Test set: Epoch: 24, Average loss: 0.0244, Accuracy: 0.2456, Time consumed:2.03s
Test set: Epoch: 25, Average loss: 0.0227, Accuracy: 0.2847, Time consumed:2.15s
Test set: Epoch: 26, Average loss: 0.0234, Accuracy: 0.2537, Time consumed:2.04s
Test set: Epoch: 27, Average loss: 0.0235, Accuracy: 0.2690, Time consumed:2.16s
Test set: Epoch: 28, Average loss: 0.0252, Accuracy: 0.2439, Time consumed:2.12s
Test set: Epoch: 29, Average loss: 0.0230, Accuracy: 0.2808, Time consumed:2.18s
Test set: Epoch: 30, Average loss: 0.0237, Accuracy: 0.2702, Time consumed:1.95s
Test set: Epoch: 31, Average loss: 0.0246, Accuracy: 0.2582, Time consumed:2.29s
Test set: Epoch: 32, Average loss: 0.0231, Accuracy: 0.2875, Time consumed:2.05s
Test set: Epoch: 33, Average loss: 0.0253, Accuracy: 0.2485, Time consumed:2.06s
Test set: Epoch: 34, Average loss: 0.0237, Accuracy: 0.2715, Time consumed:2.26s
Test set: Epoch: 35, Average loss: 0.0236, Accuracy: 0.2805, Time consumed:2.12s
Test set: Epoch: 36, Average loss: 0.0234, Accuracy: 0.2853, Time consumed:1.96s
Test set: Epoch: 37, Average loss: 0.0231, Accuracy: 0.2879, Time consumed:2.23s
Test set: Epoch: 38, Average loss: 0.0231, Accuracy: 0.2888, Time consumed:1.99s
Test set: Epoch: 39, Average loss: 0.0231, Accuracy: 0.2891, Time consumed:1.99s
Test set: Epoch: 40, Average loss: 0.0222, Accuracy: 0.3132, Time consumed:2.04s
Test set: Epoch: 41, Average loss: 0.0250, Accuracy: 0.2564, Time consumed:2.10s
Test set: Epoch: 42, Average loss: 0.0212, Accuracy: 0.3375, Time consumed:2.09s
Test set: Epoch: 43, Average loss: 0.0217, Accuracy: 0.3225, Time consumed:2.08s
Test set: Epoch: 44, Average loss: 0.0259, Accuracy: 0.2653, Time consumed:2.12s
Test set: Epoch: 45, Average loss: 0.0237, Accuracy: 0.2756, Time consumed:2.21s
Test set: Epoch: 46, Average loss: 0.0223, Accuracy: 0.3058, Time consumed:2.10s
Test set: Epoch: 47, Average loss: 0.0236, Accuracy: 0.2906, Time consumed:2.12s
Test set: Epoch: 48, Average loss: 0.0242, Accuracy: 0.2806, Time consumed:2.05s
Test set: Epoch: 49, Average loss: 0.0220, Accuracy: 0.3318, Time consumed:2.04s
Test set: Epoch: 50, Average loss: 0.0220, Accuracy: 0.3042, Time consumed:2.08s
Test set: Epoch: 51, Average loss: 0.0231, Accuracy: 0.2995, Time consumed:1.98s
Test set: Epoch: 52, Average loss: 0.0214, Accuracy: 0.3364, Time consumed:1.96s
Test set: Epoch: 53, Average loss: 0.0230, Accuracy: 0.3022, Time consumed:2.05s
Test set: Epoch: 54, Average loss: 0.0230, Accuracy: 0.3075, Time consumed:2.10s
Test set: Epoch: 55, Average loss: 0.0217, Accuracy: 0.3321, Time consumed:2.02s
Test set: Epoch: 56, Average loss: 0.0218, Accuracy: 0.3349, Time consumed:2.17s
Test set: Epoch: 57, Average loss: 0.0216, Accuracy: 0.3429, Time consumed:2.07s
Test set: Epoch: 58, Average loss: 0.0208, Accuracy: 0.3569, Time consumed:2.07s
Test set: Epoch: 59, Average loss: 0.0219, Accuracy: 0.3291, Time consumed:2.04s
Test set: Epoch: 60, Average loss: 0.0149, Accuracy: 0.5299, Time consumed:2.07s
Test set: Epoch: 61, Average loss: 0.0146, Accuracy: 0.5337, Time consumed:2.06s
Test set: Epoch: 62, Average loss: 0.0144, Accuracy: 0.5447, Time consumed:2.04s
Test set: Epoch: 63, Average loss: 0.0146, Accuracy: 0.5433, Time consumed:2.02s
Test set: Epoch: 64, Average loss: 0.0146, Accuracy: 0.5376, Time consumed:1.97s
Test set: Epoch: 65, Average loss: 0.0147, Accuracy: 0.5431, Time consumed:2.17s
Test set: Epoch: 66, Average loss: 0.0144, Accuracy: 0.5465, Time consumed:2.04s
Test set: Epoch: 67, Average loss: 0.0155, Accuracy: 0.5181, Time consumed:2.26s
Test set: Epoch: 68, Average loss: 0.0144, Accuracy: 0.5530, Time consumed:2.04s
Test set: Epoch: 69, Average loss: 0.0149, Accuracy: 0.5357, Time consumed:2.07s
Test set: Epoch: 70, Average loss: 0.0145, Accuracy: 0.5501, Time consumed:2.19s
Test set: Epoch: 71, Average loss: 0.0141, Accuracy: 0.5576, Time consumed:1.95s
Test set: Epoch: 72, Average loss: 0.0156, Accuracy: 0.5152, Time consumed:2.12s
Test set: Epoch: 73, Average loss: 0.0156, Accuracy: 0.5204, Time consumed:2.11s
Test set: Epoch: 74, Average loss: 0.0156, Accuracy: 0.5269, Time consumed:2.08s
Test set: Epoch: 75, Average loss: 0.0148, Accuracy: 0.5408, Time consumed:2.17s
Test set: Epoch: 76, Average loss: 0.0152, Accuracy: 0.5419, Time consumed:2.11s
Test set: Epoch: 77, Average loss: 0.0156, Accuracy: 0.5230, Time consumed:2.05s
Test set: Epoch: 78, Average loss: 0.0146, Accuracy: 0.5606, Time consumed:1.99s
Test set: Epoch: 79, Average loss: 0.0146, Accuracy: 0.5606, Time consumed:1.95s
Test set: Epoch: 80, Average loss: 0.0146, Accuracy: 0.5576, Time consumed:2.01s
Test set: Epoch: 81, Average loss: 0.0152, Accuracy: 0.5498, Time consumed:2.13s
Test set: Epoch: 82, Average loss: 0.0145, Accuracy: 0.5599, Time consumed:1.96s
Test set: Epoch: 83, Average loss: 0.0145, Accuracy: 0.5626, Time consumed:2.01s
Test set: Epoch: 84, Average loss: 0.0147, Accuracy: 0.5594, Time consumed:2.16s
Test set: Epoch: 85, Average loss: 0.0146, Accuracy: 0.5560, Time consumed:2.09s
Test set: Epoch: 86, Average loss: 0.0142, Accuracy: 0.5734, Time consumed:2.13s
Test set: Epoch: 87, Average loss: 0.0141, Accuracy: 0.5748, Time consumed:1.97s
Test set: Epoch: 88, Average loss: 0.0140, Accuracy: 0.5737, Time consumed:2.05s
Test set: Epoch: 89, Average loss: 0.0148, Accuracy: 0.5539, Time consumed:1.93s
Test set: Epoch: 90, Average loss: 0.0156, Accuracy: 0.5427, Time consumed:2.04s
Test set: Epoch: 91, Average loss: 0.0144, Accuracy: 0.5657, Time consumed:2.08s
Test set: Epoch: 92, Average loss: 0.0150, Accuracy: 0.5523, Time consumed:2.17s
Test set: Epoch: 93, Average loss: 0.0145, Accuracy: 0.5652, Time consumed:1.92s
Test set: Epoch: 94, Average loss: 0.0147, Accuracy: 0.5590, Time consumed:2.12s
Test set: Epoch: 95, Average loss: 0.0141, Accuracy: 0.5783, Time consumed:1.98s
Test set: Epoch: 96, Average loss: 0.0146, Accuracy: 0.5701, Time consumed:2.04s
Test set: Epoch: 97, Average loss: 0.0136, Accuracy: 0.5940, Time consumed:1.98s
Test set: Epoch: 98, Average loss: 0.0147, Accuracy: 0.5635, Time consumed:2.04s
Test set: Epoch: 99, Average loss: 0.0143, Accuracy: 0.5721, Time consumed:1.99s
Test set: Epoch: 100, Average loss: 0.0150, Accuracy: 0.5561, Time consumed:2.03s
Test set: Epoch: 101, Average loss: 0.0145, Accuracy: 0.5689, Time consumed:2.03s
Test set: Epoch: 102, Average loss: 0.0138, Accuracy: 0.5911, Time consumed:1.98s
Test set: Epoch: 103, Average loss: 0.0149, Accuracy: 0.5668, Time consumed:1.97s
Test set: Epoch: 104, Average loss: 0.0161, Accuracy: 0.5257, Time consumed:2.19s
Test set: Epoch: 105, Average loss: 0.0142, Accuracy: 0.5746, Time consumed:2.11s
Test set: Epoch: 106, Average loss: 0.0136, Accuracy: 0.5953, Time consumed:2.22s
Test set: Epoch: 107, Average loss: 0.0152, Accuracy: 0.5625, Time consumed:2.17s
Test set: Epoch: 108, Average loss: 0.0148, Accuracy: 0.5707, Time consumed:2.06s
Test set: Epoch: 109, Average loss: 0.0139, Accuracy: 0.5933, Time consumed:2.11s
Test set: Epoch: 110, Average loss: 0.0139, Accuracy: 0.5855, Time consumed:1.98s
Test set: Epoch: 111, Average loss: 0.0138, Accuracy: 0.5860, Time consumed:1.91s
Test set: Epoch: 112, Average loss: 0.0133, Accuracy: 0.6054, Time consumed:2.16s
Test set: Epoch: 113, Average loss: 0.0159, Accuracy: 0.5421, Time consumed:2.12s
Test set: Epoch: 114, Average loss: 0.0134, Accuracy: 0.6019, Time consumed:2.03s
Test set: Epoch: 115, Average loss: 0.0143, Accuracy: 0.5803, Time consumed:1.99s
Test set: Epoch: 116, Average loss: 0.0138, Accuracy: 0.5992, Time consumed:1.94s
Test set: Epoch: 117, Average loss: 0.0134, Accuracy: 0.6081, Time consumed:1.96s
Test set: Epoch: 118, Average loss: 0.0138, Accuracy: 0.5954, Time consumed:2.12s
Test set: Epoch: 119, Average loss: 0.0135, Accuracy: 0.6056, Time consumed:1.94s
Test set: Epoch: 120, Average loss: 0.0106, Accuracy: 0.6922, Time consumed:2.01s
Test set: Epoch: 121, Average loss: 0.0106, Accuracy: 0.6871, Time consumed:2.08s
Test set: Epoch: 122, Average loss: 0.0105, Accuracy: 0.6961, Time consumed:1.98s
Test set: Epoch: 123, Average loss: 0.0106, Accuracy: 0.6949, Time consumed:2.14s
Test set: Epoch: 124, Average loss: 0.0105, Accuracy: 0.6953, Time consumed:1.95s
