Test set: Epoch: 1, Average loss: 0.0347, Accuracy: 0.0346, Time consumed:8.01s
Test set: Epoch: 2, Average loss: 0.0337, Accuracy: 0.0575, Time consumed:8.07s
Test set: Epoch: 3, Average loss: 0.0328, Accuracy: 0.0757, Time consumed:8.26s
Test set: Epoch: 4, Average loss: 0.0323, Accuracy: 0.0759, Time consumed:8.08s
Test set: Epoch: 5, Average loss: 0.0317, Accuracy: 0.1005, Time consumed:8.07s
Test set: Epoch: 6, Average loss: 0.0320, Accuracy: 0.1032, Time consumed:8.17s
Test set: Epoch: 7, Average loss: 0.0304, Accuracy: 0.1360, Time consumed:7.96s
Test set: Epoch: 8, Average loss: 0.0303, Accuracy: 0.1275, Time consumed:8.13s
Test set: Epoch: 9, Average loss: 0.0299, Accuracy: 0.1495, Time consumed:8.02s
Test set: Epoch: 10, Average loss: 0.0288, Accuracy: 0.1686, Time consumed:8.03s
Test set: Epoch: 11, Average loss: 0.0286, Accuracy: 0.1904, Time consumed:8.05s
Test set: Epoch: 12, Average loss: 0.0279, Accuracy: 0.1953, Time consumed:8.13s
Test set: Epoch: 13, Average loss: 0.0273, Accuracy: 0.2236, Time consumed:8.00s
Test set: Epoch: 14, Average loss: 0.0270, Accuracy: 0.2255, Time consumed:7.94s
Test set: Epoch: 15, Average loss: 0.0275, Accuracy: 0.2138, Time consumed:8.27s
Test set: Epoch: 16, Average loss: 0.0266, Accuracy: 0.2350, Time consumed:8.07s
Test set: Epoch: 17, Average loss: 0.0258, Accuracy: 0.2556, Time consumed:7.98s
Test set: Epoch: 18, Average loss: 0.0257, Accuracy: 0.2442, Time consumed:8.09s
Test set: Epoch: 19, Average loss: 0.0250, Accuracy: 0.2737, Time consumed:8.27s
Test set: Epoch: 20, Average loss: 0.0254, Accuracy: 0.2745, Time consumed:8.09s
Test set: Epoch: 21, Average loss: 0.0249, Accuracy: 0.2873, Time consumed:8.09s
Test set: Epoch: 22, Average loss: 0.0241, Accuracy: 0.2936, Time consumed:8.14s
Test set: Epoch: 23, Average loss: 0.0251, Accuracy: 0.2638, Time consumed:8.07s
Test set: Epoch: 24, Average loss: 0.0250, Accuracy: 0.2860, Time consumed:8.13s
Test set: Epoch: 25, Average loss: 0.0245, Accuracy: 0.2926, Time consumed:8.15s
Test set: Epoch: 26, Average loss: 0.0241, Accuracy: 0.3118, Time consumed:8.16s
Test set: Epoch: 27, Average loss: 0.0239, Accuracy: 0.3136, Time consumed:8.21s
Test set: Epoch: 28, Average loss: 0.0241, Accuracy: 0.3074, Time consumed:8.12s
Test set: Epoch: 29, Average loss: 0.0249, Accuracy: 0.2823, Time consumed:8.07s
Test set: Epoch: 30, Average loss: 0.0235, Accuracy: 0.3164, Time consumed:7.96s
Test set: Epoch: 31, Average loss: 0.0237, Accuracy: 0.3287, Time consumed:7.98s
Test set: Epoch: 32, Average loss: 0.0251, Accuracy: 0.2704, Time consumed:8.14s
Test set: Epoch: 33, Average loss: 0.0232, Accuracy: 0.3354, Time consumed:8.10s
Test set: Epoch: 34, Average loss: 0.0227, Accuracy: 0.3519, Time consumed:8.14s
Test set: Epoch: 35, Average loss: 0.0232, Accuracy: 0.3455, Time consumed:8.11s
Test set: Epoch: 36, Average loss: 0.0236, Accuracy: 0.3194, Time consumed:8.11s
Test set: Epoch: 37, Average loss: 0.0232, Accuracy: 0.3405, Time consumed:7.87s
Test set: Epoch: 38, Average loss: 0.0234, Accuracy: 0.3410, Time consumed:8.04s
Test set: Epoch: 39, Average loss: 0.0222, Accuracy: 0.3631, Time consumed:8.02s
Test set: Epoch: 40, Average loss: 0.0242, Accuracy: 0.3063, Time consumed:8.12s
Test set: Epoch: 41, Average loss: 0.0223, Accuracy: 0.3613, Time consumed:8.03s
Test set: Epoch: 42, Average loss: 0.0240, Accuracy: 0.3245, Time consumed:8.07s
Test set: Epoch: 43, Average loss: 0.0235, Accuracy: 0.3320, Time consumed:8.07s
Test set: Epoch: 44, Average loss: 0.0220, Accuracy: 0.3677, Time consumed:8.11s
Test set: Epoch: 45, Average loss: 0.0235, Accuracy: 0.3220, Time consumed:7.95s
Test set: Epoch: 46, Average loss: 0.0235, Accuracy: 0.3388, Time consumed:8.12s
Test set: Epoch: 47, Average loss: 0.0239, Accuracy: 0.3338, Time consumed:8.10s
Test set: Epoch: 48, Average loss: 0.0223, Accuracy: 0.3753, Time consumed:8.14s
Test set: Epoch: 49, Average loss: 0.0232, Accuracy: 0.3418, Time consumed:8.29s
Test set: Epoch: 50, Average loss: 0.0223, Accuracy: 0.3845, Time consumed:8.07s
Test set: Epoch: 51, Average loss: 0.0225, Accuracy: 0.3602, Time consumed:8.10s
Test set: Epoch: 52, Average loss: 0.0211, Accuracy: 0.3910, Time consumed:7.99s
Test set: Epoch: 53, Average loss: 0.0226, Accuracy: 0.3622, Time consumed:7.95s
Test set: Epoch: 54, Average loss: 0.0224, Accuracy: 0.3685, Time consumed:8.06s
Test set: Epoch: 55, Average loss: 0.0222, Accuracy: 0.3702, Time consumed:7.99s
Test set: Epoch: 56, Average loss: 0.0229, Accuracy: 0.3395, Time consumed:7.98s
Test set: Epoch: 57, Average loss: 0.0221, Accuracy: 0.3718, Time consumed:8.04s
Test set: Epoch: 58, Average loss: 0.0231, Accuracy: 0.3438, Time consumed:8.14s
Test set: Epoch: 59, Average loss: 0.0228, Accuracy: 0.3615, Time consumed:7.92s
Test set: Epoch: 60, Average loss: 0.0166, Accuracy: 0.5613, Time consumed:7.85s
Test set: Epoch: 61, Average loss: 0.0166, Accuracy: 0.5663, Time consumed:8.10s
Test set: Epoch: 62, Average loss: 0.0165, Accuracy: 0.5657, Time consumed:8.23s
Test set: Epoch: 63, Average loss: 0.0163, Accuracy: 0.5753, Time consumed:8.15s
Test set: Epoch: 64, Average loss: 0.0170, Accuracy: 0.5572, Time consumed:7.95s
Test set: Epoch: 65, Average loss: 0.0163, Accuracy: 0.5800, Time consumed:8.03s
Test set: Epoch: 66, Average loss: 0.0166, Accuracy: 0.5656, Time consumed:8.11s
Test set: Epoch: 67, Average loss: 0.0162, Accuracy: 0.5927, Time consumed:7.95s
Test set: Epoch: 68, Average loss: 0.0167, Accuracy: 0.5690, Time consumed:8.06s
Test set: Epoch: 69, Average loss: 0.0163, Accuracy: 0.5747, Time consumed:8.05s
Test set: Epoch: 70, Average loss: 0.0175, Accuracy: 0.5443, Time consumed:8.16s
Test set: Epoch: 71, Average loss: 0.0168, Accuracy: 0.5609, Time consumed:7.92s
Test set: Epoch: 72, Average loss: 0.0169, Accuracy: 0.5509, Time consumed:8.19s
Test set: Epoch: 73, Average loss: 0.0164, Accuracy: 0.5785, Time consumed:8.05s
Test set: Epoch: 74, Average loss: 0.0167, Accuracy: 0.5664, Time consumed:8.15s
