Test set: Epoch: 1, Average loss: 0.0314, Accuracy: 0.0837, Time consumed:1.61s
Test set: Epoch: 2, Average loss: 0.0278, Accuracy: 0.1538, Time consumed:1.63s
Test set: Epoch: 3, Average loss: 0.0268, Accuracy: 0.1886, Time consumed:1.57s
Test set: Epoch: 4, Average loss: 0.0258, Accuracy: 0.2150, Time consumed:1.84s
Test set: Epoch: 5, Average loss: 0.0229, Accuracy: 0.2661, Time consumed:1.63s
Test set: Epoch: 6, Average loss: 0.0222, Accuracy: 0.2911, Time consumed:1.65s
Test set: Epoch: 7, Average loss: 0.0221, Accuracy: 0.2991, Time consumed:1.68s
Test set: Epoch: 8, Average loss: 0.0212, Accuracy: 0.3266, Time consumed:1.65s
Test set: Epoch: 9, Average loss: 0.0211, Accuracy: 0.3285, Time consumed:1.65s
Test set: Epoch: 10, Average loss: 0.0216, Accuracy: 0.3247, Time consumed:1.61s
Test set: Epoch: 11, Average loss: 0.0205, Accuracy: 0.3584, Time consumed:1.68s
Test set: Epoch: 12, Average loss: 0.0211, Accuracy: 0.3530, Time consumed:1.67s
Test set: Epoch: 13, Average loss: 0.0205, Accuracy: 0.3527, Time consumed:1.56s
Test set: Epoch: 14, Average loss: 0.0201, Accuracy: 0.3648, Time consumed:1.62s
Test set: Epoch: 15, Average loss: 0.0191, Accuracy: 0.3974, Time consumed:1.63s
Test set: Epoch: 16, Average loss: 0.0206, Accuracy: 0.3497, Time consumed:1.62s
Test set: Epoch: 17, Average loss: 0.0208, Accuracy: 0.3546, Time consumed:1.71s
Test set: Epoch: 18, Average loss: 0.0188, Accuracy: 0.4142, Time consumed:1.70s
Test set: Epoch: 19, Average loss: 0.0171, Accuracy: 0.4480, Time consumed:1.61s
Test set: Epoch: 20, Average loss: 0.0195, Accuracy: 0.3948, Time consumed:1.67s
Test set: Epoch: 21, Average loss: 0.0176, Accuracy: 0.4374, Time consumed:1.84s
Test set: Epoch: 22, Average loss: 0.0182, Accuracy: 0.4243, Time consumed:1.74s
Test set: Epoch: 23, Average loss: 0.0178, Accuracy: 0.4373, Time consumed:1.72s
Test set: Epoch: 24, Average loss: 0.0202, Accuracy: 0.3691, Time consumed:1.61s
Test set: Epoch: 25, Average loss: 0.0203, Accuracy: 0.3718, Time consumed:1.72s
Test set: Epoch: 26, Average loss: 0.0207, Accuracy: 0.3688, Time consumed:1.69s
Test set: Epoch: 27, Average loss: 0.0189, Accuracy: 0.4043, Time consumed:1.68s
Test set: Epoch: 28, Average loss: 0.0201, Accuracy: 0.3705, Time consumed:1.67s
Test set: Epoch: 29, Average loss: 0.0212, Accuracy: 0.3571, Time consumed:1.70s
Test set: Epoch: 30, Average loss: 0.0180, Accuracy: 0.4408, Time consumed:1.69s
Test set: Epoch: 31, Average loss: 0.0214, Accuracy: 0.3415, Time consumed:1.66s
Test set: Epoch: 32, Average loss: 0.0182, Accuracy: 0.4201, Time consumed:1.58s
Test set: Epoch: 33, Average loss: 0.0189, Accuracy: 0.4039, Time consumed:1.70s
Test set: Epoch: 34, Average loss: 0.0181, Accuracy: 0.4287, Time consumed:1.67s
Test set: Epoch: 35, Average loss: 0.0197, Accuracy: 0.3799, Time consumed:1.71s
Test set: Epoch: 36, Average loss: 0.0200, Accuracy: 0.3910, Time consumed:1.70s
Test set: Epoch: 37, Average loss: 0.0176, Accuracy: 0.4405, Time consumed:1.66s
Test set: Epoch: 38, Average loss: 0.0209, Accuracy: 0.3556, Time consumed:1.86s
Test set: Epoch: 39, Average loss: 0.0168, Accuracy: 0.4713, Time consumed:1.67s
Test set: Epoch: 40, Average loss: 0.0214, Accuracy: 0.3619, Time consumed:1.66s
Test set: Epoch: 41, Average loss: 0.0181, Accuracy: 0.4367, Time consumed:1.58s
Test set: Epoch: 42, Average loss: 0.0205, Accuracy: 0.3687, Time consumed:1.65s
Test set: Epoch: 43, Average loss: 0.0179, Accuracy: 0.4367, Time consumed:1.65s
Test set: Epoch: 44, Average loss: 0.0192, Accuracy: 0.4045, Time consumed:1.79s
Test set: Epoch: 45, Average loss: 0.0214, Accuracy: 0.3531, Time consumed:1.65s
Test set: Epoch: 46, Average loss: 0.0203, Accuracy: 0.3799, Time consumed:1.92s
Test set: Epoch: 47, Average loss: 0.0181, Accuracy: 0.4260, Time consumed:1.63s
Test set: Epoch: 48, Average loss: 0.0197, Accuracy: 0.4090, Time consumed:1.79s
Test set: Epoch: 49, Average loss: 0.0212, Accuracy: 0.3566, Time consumed:1.67s
Test set: Epoch: 50, Average loss: 0.0177, Accuracy: 0.4292, Time consumed:1.74s
Test set: Epoch: 51, Average loss: 0.0202, Accuracy: 0.3761, Time consumed:1.76s
Test set: Epoch: 52, Average loss: 0.0191, Accuracy: 0.4053, Time consumed:1.65s
Test set: Epoch: 53, Average loss: 0.0191, Accuracy: 0.4067, Time consumed:1.58s
Test set: Epoch: 54, Average loss: 0.0180, Accuracy: 0.4359, Time consumed:1.63s
