Test set: Epoch: 1, Average loss: 0.0348, Accuracy: 0.0380, Time consumed:6.07s
Test set: Epoch: 2, Average loss: 0.0339, Accuracy: 0.0531, Time consumed:6.07s
Test set: Epoch: 3, Average loss: 0.0332, Accuracy: 0.0790, Time consumed:5.89s
Test set: Epoch: 4, Average loss: 0.0332, Accuracy: 0.0746, Time consumed:5.92s
Test set: Epoch: 5, Average loss: 0.0328, Accuracy: 0.0824, Time consumed:6.01s
Test set: Epoch: 6, Average loss: 0.0325, Accuracy: 0.0901, Time consumed:5.87s
Test set: Epoch: 7, Average loss: 0.0321, Accuracy: 0.0953, Time consumed:6.00s
Test set: Epoch: 8, Average loss: 0.0313, Accuracy: 0.1162, Time consumed:5.97s
Test set: Epoch: 9, Average loss: 0.0315, Accuracy: 0.1149, Time consumed:5.89s
Test set: Epoch: 10, Average loss: 0.0307, Accuracy: 0.1436, Time consumed:5.94s
Test set: Epoch: 11, Average loss: 0.0305, Accuracy: 0.1395, Time consumed:5.99s
Test set: Epoch: 12, Average loss: 0.0300, Accuracy: 0.1553, Time consumed:5.98s
Test set: Epoch: 13, Average loss: 0.0304, Accuracy: 0.1586, Time consumed:6.11s
Test set: Epoch: 14, Average loss: 0.0293, Accuracy: 0.1762, Time consumed:6.10s
Test set: Epoch: 15, Average loss: 0.0296, Accuracy: 0.1864, Time consumed:6.08s
Test set: Epoch: 16, Average loss: 0.0293, Accuracy: 0.1730, Time consumed:5.96s
Test set: Epoch: 17, Average loss: 0.0286, Accuracy: 0.1983, Time consumed:5.95s
Test set: Epoch: 18, Average loss: 0.0287, Accuracy: 0.1855, Time consumed:6.11s
Test set: Epoch: 19, Average loss: 0.0286, Accuracy: 0.1980, Time consumed:5.94s
Test set: Epoch: 20, Average loss: 0.0281, Accuracy: 0.2133, Time consumed:6.01s
Test set: Epoch: 21, Average loss: 0.0282, Accuracy: 0.2103, Time consumed:5.90s
Test set: Epoch: 22, Average loss: 0.0279, Accuracy: 0.2203, Time consumed:5.98s
Test set: Epoch: 23, Average loss: 0.0278, Accuracy: 0.2175, Time consumed:5.89s
Test set: Epoch: 24, Average loss: 0.0275, Accuracy: 0.2247, Time consumed:5.94s
Test set: Epoch: 25, Average loss: 0.0265, Accuracy: 0.2511, Time consumed:6.08s
Test set: Epoch: 26, Average loss: 0.0275, Accuracy: 0.2217, Time consumed:6.03s
Test set: Epoch: 27, Average loss: 0.0273, Accuracy: 0.2357, Time consumed:5.92s
Test set: Epoch: 28, Average loss: 0.0279, Accuracy: 0.2096, Time consumed:5.96s
Test set: Epoch: 29, Average loss: 0.0263, Accuracy: 0.2660, Time consumed:5.97s
Test set: Epoch: 30, Average loss: 0.0266, Accuracy: 0.2577, Time consumed:6.28s
Test set: Epoch: 31, Average loss: 0.0266, Accuracy: 0.2630, Time consumed:6.06s
Test set: Epoch: 32, Average loss: 0.0267, Accuracy: 0.2633, Time consumed:5.76s
Test set: Epoch: 33, Average loss: 0.0261, Accuracy: 0.2681, Time consumed:5.86s
Test set: Epoch: 34, Average loss: 0.0274, Accuracy: 0.2335, Time consumed:6.04s
Test set: Epoch: 35, Average loss: 0.0258, Accuracy: 0.2699, Time consumed:5.94s
Test set: Epoch: 36, Average loss: 0.0262, Accuracy: 0.2749, Time consumed:6.10s
Test set: Epoch: 37, Average loss: 0.0273, Accuracy: 0.2364, Time consumed:6.00s
Test set: Epoch: 38, Average loss: 0.0261, Accuracy: 0.2857, Time consumed:6.17s
Test set: Epoch: 39, Average loss: 0.0263, Accuracy: 0.2638, Time consumed:5.97s
Test set: Epoch: 40, Average loss: 0.0263, Accuracy: 0.2535, Time consumed:6.07s
Test set: Epoch: 41, Average loss: 0.0260, Accuracy: 0.2890, Time consumed:6.14s
Test set: Epoch: 42, Average loss: 0.0257, Accuracy: 0.2781, Time consumed:6.14s
Test set: Epoch: 43, Average loss: 0.0260, Accuracy: 0.2659, Time consumed:6.12s
Test set: Epoch: 44, Average loss: 0.0255, Accuracy: 0.3085, Time consumed:6.06s
Test set: Epoch: 45, Average loss: 0.0265, Accuracy: 0.2488, Time consumed:5.94s
Test set: Epoch: 46, Average loss: 0.0257, Accuracy: 0.2972, Time consumed:6.12s
